Dataset,Generator,Feature,Metric,Value,Mean,Std,Experiment,SourceFile
2. Alzhimers,CTGAN,SES,JS_Divergence,0.368286,0.368286,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,MMSE,JS_Divergence,0.336733,0.336733,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,CDR,JS_Divergence,0.334115,0.334115,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,Age,JS_Divergence,0.262652,0.262652,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,ASF,JS_Divergence,0.224573,0.224573,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,MR Delay,JS_Divergence,0.189992,0.189992,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,EDUC,JS_Divergence,0.144073,0.144073,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,nWBV,JS_Divergence,0.063106,0.063106,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,eTIV,JS_Divergence,0.061282,0.061282,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,Visit,JS_Divergence,0.029893,0.029893,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,Group,JS_Divergence,2.9e-05,2.9e-05,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,SES,JS_Divergence,0.380076,0.380076,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,MMSE,JS_Divergence,0.342001,0.342001,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,CDR,JS_Divergence,0.290876,0.290876,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,EDUC,JS_Divergence,0.198148,0.198148,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,Age,JS_Divergence,0.153427,0.153427,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,MR Delay,JS_Divergence,0.13179,0.13179,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,eTIV,JS_Divergence,0.092564,0.092564,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,nWBV,JS_Divergence,0.075516,0.075516,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,ASF,JS_Divergence,0.064038,0.064038,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTABGAN,eTIV,KS_Complement,0.906188,0.906188,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,Age,KS_Complement,0.904113,0.904113,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,nWBV,KS_Complement,0.834702,0.834702,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,ASF,KS_Complement,0.819826,0.819826,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,EDUC,KS_Complement,0.796236,0.796236,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,Group,KS_Complement,0.782617,0.782617,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,SES,KS_Complement,0.742936,0.742936,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,MMSE,KS_Complement,0.69437,0.69437,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,MR Delay,KS_Complement,0.597855,0.597855,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,CDR,KS_Complement,0.447721,0.447721,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,Visit,KS_Complement,3e-06,3e-06,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,Group,KS_Complement,0.965383,0.965383,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,nWBV,KS_Complement,0.961413,0.961413,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,eTIV,KS_Complement,0.930437,0.930437,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,ASF,KS_Complement,0.928118,0.928118,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,Age,KS_Complement,0.91896,0.91896,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,EDUC,KS_Complement,0.854198,0.854198,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,SES,KS_Complement,0.817003,0.817003,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,MMSE,KS_Complement,0.79637,0.79637,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,MR Delay,KS_Complement,0.753855,0.753855,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
