Dataset,Generator,Metric,Mean,Count,Std,CI_Low,CI_High,NormalizedScore
10. Metro interstate,GaussianCopula,Wasserstein_Distance,0.237024,1,0.0,0.237024,0.237024,0.237024
10. Metro interstate,TVAE,Cosine_Similarity,0.009913,1,0.0,0.009913,0.009913,0.009913
10. Metro interstate,TVAE,Gower_Distance,0.689928,1,0.0,0.689928,0.689928,0.689928
10. Metro interstate,TVAE,Gower_Similarity,0.689928,1,0.0,0.689928,0.689928,0.689928
10. Metro interstate,TVAE,JS_Divergence,0.01875,1,0.0,0.01875,0.01875,0.01875
10. Metro interstate,TVAE,KS_Complement,0.9267,1,0.0,0.9267,0.9267,0.9267
10. Metro interstate,TVAE,MMD,0.001842,1,0.0,0.001842,0.001842,0.001842
10. Metro interstate,TVAE,MMD_Multivariate,0.001242,1,0.0,0.001242,0.001242,0.001242
10. Metro interstate,TVAE,Outlier_Count_Diff,14.25,1,0.0,14.25,14.25,14.25
10. Metro interstate,TVAE,PCA_Correlation_Diff,0.031271,1,0.0,0.031271,0.031271,0.031271
10. Metro interstate,TVAE,PCA_Mean_Error,47.241577,1,0.0,47.241577,47.241577,47.241577
10. Metro interstate,TVAE,PCA_Mean_Error_Pct,23.6209835,1,0.0,23.6209835,23.6209835,23.6209835
10. Metro interstate,TVAE,Quality_Score,0.852997,1,0.0,0.852997,0.852997,0.852997
10. Metro interstate,TVAE,Wasserstein_Distance,0.009702,1,0.0,0.009702,0.009702,0.009702
10. Metro interstate,TabDDPM,Cosine_Similarity,-0.037414,1,0.0,-0.037414,-0.037414,-0.037414
10. Metro interstate,TabDDPM,Gower_Distance,0.4366,1,0.0,0.4366,0.4366,0.4366
10. Metro interstate,TabDDPM,Gower_Similarity,0.4366,1,0.0,0.4366,0.4366,0.4366
10. Metro interstate,TabDDPM,JS_Divergence,0.1947499999999999,1,0.0,0.1947499999999999,0.1947499999999999,0.1947499999999999
10. Metro interstate,TabDDPM,KS_Complement,0.5631,1,0.0,0.5631,0.5631,0.5631
10. Metro interstate,TabDDPM,MMD,0.419871,1,0.0,0.419871,0.419871,0.419871
10. Metro interstate,TabDDPM,MMD_Multivariate,0.418946,1,0.0,0.418946,0.418946,0.418946
10. Metro interstate,TabDDPM,Outlier_Count_Diff,20.0,1,0.0,20.0,20.0,20.0
10. Metro interstate,TabDDPM,PCA_Correlation_Diff,0.568776,1,0.0,0.568776,0.568776,0.568776
10. Metro interstate,TabDDPM,PCA_Mean_Error,4879.57694,1,0.0,4879.57694,4879.57694,4879.57694
10. Metro interstate,TabDDPM,PCA_Mean_Error_Pct,2440.28847,1,0.0,2440.28847,2440.28847,2440.28847
10. Metro interstate,TabDDPM,Quality_Score,0.8240340163934425,1,0.0,0.8240340163934425,0.8240340163934425,0.8240340163934425
10. Metro interstate,TabDDPM,Wasserstein_Distance,0.274132,1,0.0,0.274132,0.274132,0.274132
10. Metro interstate,WGAN_GP,Cosine_Similarity,0.003326,1,0.0,0.003326,0.003326,0.003326
10. Metro interstate,WGAN_GP,Gower_Distance,0.657231,1,0.0,0.657231,0.657231,0.657231
10. Metro interstate,WGAN_GP,Gower_Similarity,0.657231,1,0.0,0.657231,0.657231,0.657231
10. Metro interstate,WGAN_GP,JS_Divergence,0.2817,1,0.0,0.2817,0.2817,0.2817
10. Metro interstate,WGAN_GP,KS_Complement,0.6805,1,0.0,0.6805,0.6805,0.6805
10. Metro interstate,WGAN_GP,MMD,0.00211,1,0.0,0.00211,0.00211,0.00211
10. Metro interstate,WGAN_GP,MMD_Multivariate,0.001288,1,0.0,0.001288,0.001288,0.001288
10. Metro interstate,WGAN_GP,Outlier_Count_Diff,10.888889,1,0.0,10.888889,10.888889,10.888889
10. Metro interstate,WGAN_GP,PCA_Correlation_Diff,0.386903,1,0.0,0.386903,0.386903,0.386903
10. Metro interstate,WGAN_GP,PCA_Mean_Error,23.21184,1,0.0,23.21184,23.21184,23.21184
10. Metro interstate,WGAN_GP,PCA_Mean_Error_Pct,12.10592,1,0.0,12.10592,12.10592,12.10592
10. Metro interstate,WGAN_GP,Quality_Score,0.808212463794471,1,0.0,0.808212463794471,0.808212463794471,0.808212463794471
10. Metro interstate,WGAN_GP,Wasserstein_Distance,0.050029,1,0.0,0.050029,0.050029,0.050029
11. online shopping,CTABGAN,Cosine_Similarity,0.07272,1,0.0,0.07272,0.07272,0.07272
11. online shopping,CTABGAN,Gower_Distance,0.670995,1,0.0,0.670995,0.670995,0.670995
11. online shopping,CTABGAN,Gower_Similarity,0.670995,1,0.0,0.670995,0.670995,0.670995
11. online shopping,CTABGAN,JS_Divergence,0.0184,1,0.0,0.0184,0.0184,0.0184
11. online shopping,CTABGAN,KS_Complement,0.2004,1,0.0,0.2004,0.2004,0.2004
11. online shopping,CTABGAN,MMD,0.015137,1,0.0,0.015137,0.015137,0.015137
11. online shopping,CTABGAN,MMD_Multivariate,0.006289,1,0.0,0.006289,0.006289,0.006289
11. online shopping,CTABGAN,Outlier_Count_Diff,32.272727,1,0.0,32.272727,32.272727,32.272727
11. online shopping,CTABGAN,PCA_Correlation_Diff,0.725165,1,0.0,0.725165,0.725165,0.725165
11. online shopping,CTABGAN,PCA_Mean_Error,7.692611,1,0.0,7.692611,7.692611,7.692611
11. online shopping,CTABGAN,PCA_Mean_Error_Pct,3.8463055,1,0.0,3.8463055,3.8463055,3.8463055
11. online shopping,CTABGAN,Quality_Score,0.9946252035570976,1,0.0,0.9946252035570976,0.9946252035570976,0.9946252035570976
11. online shopping,CTABGAN,Wasserstein_Distance,0.03353,1,0.0,0.03353,0.03353,0.03353
11. online shopping,CTGAN,Cosine_Similarity,0.004921,1,0.0,0.004921,0.004921,0.004921
11. online shopping,CTGAN,Gower_Distance,0.651777,1,0.0,0.651777,0.651777,0.651777
11. online shopping,CTGAN,Gower_Similarity,0.651777,1,0.0,0.651777,0.651777,0.651777
11. online shopping,CTGAN,JS_Divergence,0.0292499999999999,1,0.0,0.0292499999999999,0.0292499999999999,0.0292499999999999
11. online shopping,CTGAN,KS_Complement,0.9088,1,0.0,0.9088,0.9088,0.9088
11. online shopping,CTGAN,MMD,0.008181,1,0.0,0.008181,0.008181,0.008181
11. online shopping,CTGAN,MMD_Multivariate,0.006853,1,0.0,0.006853,0.006853,0.006853
11. online shopping,CTGAN,PCA_Correlation_Diff,0.33409,1,0.0,0.33409,0.33409,0.33409
11. online shopping,CTGAN,PCA_Mean_Error,7.792363,1,0.0,7.792363,7.792363,7.792363
11. online shopping,CTGAN,PCA_Mean_Error_Pct,7.792363,1,0.0,7.792363,7.792363,7.792363
11. online shopping,CTGAN,Quality_Score,0.672431,1,0.0,0.672431,0.672431,0.672431
11. online shopping,CTGAN,Wasserstein_Distance,0.029616,1,0.0,0.029616,0.029616,0.029616
11. online shopping,CopulaGAN,Cosine_Similarity,0.006996,1,0.0,0.006996,0.006996,0.006996
11. online shopping,CopulaGAN,Gower_Distance,0.653286,1,0.0,0.653286,0.653286,0.653286
11. online shopping,CopulaGAN,Gower_Similarity,0.653286,1,0.0,0.653286,0.653286,0.653286
11. online shopping,CopulaGAN,JS_Divergence,0.06275,1,0.0,0.06275,0.06275,0.06275
11. online shopping,CopulaGAN,KS_Complement,0.9086,1,0.0,0.9086,0.9086,0.9086
11. online shopping,CopulaGAN,MMD,0.007746,1,0.0,0.007746,0.007746,0.007746
11. online shopping,CopulaGAN,MMD_Multivariate,0.007664,1,0.0,0.007664,0.007664,0.007664
11. online shopping,CopulaGAN,PCA_Correlation_Diff,0.329411,1,0.0,0.329411,0.329411,0.329411
11. online shopping,CopulaGAN,PCA_Mean_Error,6.679559,1,0.0,6.679559,6.679559,6.679559
11. online shopping,CopulaGAN,PCA_Mean_Error_Pct,6.679559,1,0.0,6.679559,6.679559,6.679559
11. online shopping,CopulaGAN,Quality_Score,0.682,1,0.0,0.682,0.682,0.682
11. online shopping,CopulaGAN,Wasserstein_Distance,0.035796,1,0.0,0.035796,0.035796,0.035796
11. online shopping,ForestDiffusion,Cosine_Similarity,0.015111,1,0.0,0.015111,0.015111,0.015111
11. online shopping,ForestDiffusion,Gower_Distance,0.710192,1,0.0,0.710192,0.710192,0.710192
11. online shopping,ForestDiffusion,Gower_Similarity,0.710192,1,0.0,0.710192,0.710192,0.710192
11. online shopping,ForestDiffusion,JS_Divergence,0.118875,1,0.0,0.118875,0.118875,0.118875
11. online shopping,ForestDiffusion,KS_Complement,0.4649,1,0.0,0.4649,0.4649,0.4649
11. online shopping,ForestDiffusion,MMD,0.004386,1,0.0,0.004386,0.004386,0.004386
11. online shopping,ForestDiffusion,MMD_Multivariate,0.012417,1,0.0,0.012417,0.012417,0.012417
11. online shopping,ForestDiffusion,Outlier_Count_Diff,13.75,1,0.0,13.75,13.75,13.75
11. online shopping,ForestDiffusion,PCA_Correlation_Diff,0.182822,1,0.0,0.182822,0.182822,0.182822
11. online shopping,ForestDiffusion,PCA_Mean_Error,7.56243,1,0.0,7.56243,7.56243,7.56243
11. online shopping,ForestDiffusion,PCA_Mean_Error_Pct,3.781215,1,0.0,3.781215,3.781215,3.781215
11. online shopping,ForestDiffusion,Quality_Score,0.9151970007980958,1,0.0,0.9151970007980958,0.9151970007980958,0.9151970007980958
11. online shopping,ForestDiffusion,Wasserstein_Distance,0.049057,1,0.0,0.049057,0.049057,0.049057
11. online shopping,GaussianCopula,Cosine_Similarity,0.004029,1,0.0,0.004029,0.004029,0.004029
11. online shopping,GaussianCopula,Gower_Distance,0.648611,1,0.0,0.648611,0.648611,0.648611
11. online shopping,GaussianCopula,Gower_Similarity,0.648611,1,0.0,0.648611,0.648611,0.648611
11. online shopping,GaussianCopula,JS_Divergence,0.1182,1,0.0,0.1182,0.1182,0.1182
11. online shopping,GaussianCopula,KS_Complement,0.9198,1,0.0,0.9198,0.9198,0.9198
11. online shopping,GaussianCopula,MMD,0.002196,1,0.0,0.002196,0.002196,0.002196
11. online shopping,GaussianCopula,MMD_Multivariate,0.00234,1,0.0,0.00234,0.00234,0.00234
11. online shopping,GaussianCopula,PCA_Correlation_Diff,0.349221,1,0.0,0.349221,0.349221,0.349221
11. online shopping,GaussianCopula,PCA_Mean_Error,3.706453,1,0.0,3.706453,3.706453,3.706453
11. online shopping,GaussianCopula,PCA_Mean_Error_Pct,3.706453,1,0.0,3.706453,3.706453,3.706453
11. online shopping,GaussianCopula,Quality_Score,0.704185,1,0.0,0.704185,0.704185,0.704185
11. online shopping,GaussianCopula,Wasserstein_Distance,0.022097,1,0.0,0.022097,0.022097,0.022097
