Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
2. Alzhimers,CTGAN,classification,0.06567729712661811,0.5503515675871391,0.31202877314506466,0.5597333333333333,,0.6868289396455175,0.2849850210703084,7.0
2. Alzhimers,CopulaGAN,classification,0.02526049889485302,0.5503515675871391,0.0,0.5426666666666666,,0.6392293596417071,0.17520966983408293,8.0
3. Adult,ForestDiffusion,classification,1.0,1.0,0.6660795083627843,0.71975,168.7873906537732,,0.8998238525088352,1.0
3. Adult,CTABGAN,classification,0.6384157880508248,0.9965461586027051,0.6660795083627843,0.5860000000000001,171.09886174114396,,0.7541540153099767,2.0
3. Adult,TVAE,classification,0.8648283319816166,0.0030247154091349593,1.0,0.66975,836.0095586896141,0.914370741691994,0.6468387474153872,3.0
3. Adult,TabDDPM,classification,0.3107596647742633,0.9929123196006295,0.6660795083627843,0.4648,173.53079558617708,,0.6220014142987295,4.0
3. Adult,CopulaGAN,classification,0.8463098134630983,0.003006135412653488,0.9279990095220928,0.6629,836.0219932862647,0.9078711149569277,0.6178254688656633,5.0
3. Adult,CTGAN,classification,0.9038929440389292,0.002765195983491342,0.7363190239290444,0.6841999999999999,836.1832411434339,0.8905679035612462,0.5832824435893325,6.0
3. Adult,WGAN_GP,classification,0.0,0.9962808030969613,0.6660795083627843,0.34985,171.27644997084144,,0.49870809343792366,7.0
3. Adult,GaussianCopula,classification,0.8492835901595026,0.0,0.0,0.664,838.0338387336301,0.8240993899796788,0.33971343606380106,8.0
4. Forest cover dataset,GaussianCopula,classification,1.0,0.5,1.0,0.46720000000000006,,0.9292842200751891,0.8500000000000001,1.0
4. Forest cover dataset,ForestDiffusion,classification,0.556686626746507,1.0,0.3690827348381215,,262.42599989687074,,0.6333994711500393,2.0
4. Forest cover dataset,WGAN_GP,classification,0.8404524284763805,0.5,0.3690827348381215,0.40725,,,0.5969057918419887,3.0
4. Forest cover dataset,TVAE,classification,0.774983366600133,0.5,0.37518524851801216,0.38265000000000005,,0.8847337849567833,0.5725489211954569,4.0
4. Forest cover dataset,CTABGAN,classification,0.6125083166999334,0.5,0.3690827348381215,0.3216,,,0.5057281471314099,5.0
4. Forest cover dataset,TabDDPM,classification,0.556686626746507,0.0,0.3690827348381215,,677.5814669914975,,0.33339947115003926,6.0
4. Forest cover dataset,CTGAN,classification,0.11217564870259478,0.5,0.10114569083447379,0.1336,,0.8651942630336857,0.22521396673138006,7.0
4. Forest cover dataset,CopulaGAN,classification,0.0,0.5,0.0,0.09145,,0.8579823901924322,0.15,8.0
5. Bank Markting,ForestDiffusion,classification,1.0,0.5503515675871391,0.41743968295444644,0.8755200000000001,,,0.6903373751624757,1.0
5. Bank Markting,WGAN_GP,classification,0.7102223190932834,0.5503515675871391,0.41743968295444644,0.8622249999999999,,,0.574426302799789,2.0
5. Bank Markting,CopulaGAN,classification,0.5448997384481257,0.5503515675871391,0.5194669453880336,0.8546400000000001,10000.0,0.8485951694006117,0.5389054492718021,3.0
5. Bank Markting,TabDDPM,classification,0.5678945074106372,0.5503515675871391,0.41743968295444644,0.8556950000000001,,,0.5174951781267305,4.0
5. Bank Markting,CTGAN,classification,0.0,0.5503515675871391,1.0,0.82964,10000.0,0.8710172051657262,0.4651054702761417,5.0
5. Bank Markting,CTABGAN,classification,0.40115518744550743,0.5503515675871391,0.41743968295444644,0.8480449999999999,,,0.4507994501406787,6.0
5. Bank Markting,GaussianCopula,classification,0.49226242371403556,0.5503515675871391,0.0,0.852225,10000.0,0.8243564488453927,0.36201043976175595,7.0
5. Bank Markting,TVAE,classification,0.341216216216213,0.5503515675871391,0.15029178642975227,0.8452949999999999,10000.0,0.831369177268939,0.3466794926915526,8.0
6. Wine dataset,TVAE,classification,0.7330952912296363,0.8179952369923539,0.9479266299412786,0.4904,1109.6963609469756,0.9520476462706587,0.8230146765719444,1.0
