Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CTGAN,Linear Regression,R2,TSTR,-0.04580992111703064,0.0,2,-0.04580992111703064,-0.04580992111703064
10. Metro interstate,CTGAN,Linear Regression,RMSE,TRTR,2018.100738868073,2.273736754432321e-13,2,2018.1007388680728,2018.1007388680732
10. Metro interstate,CTGAN,Linear Regression,RMSE,TSTR,2086.70627481817,0.0,2,2086.70627481817,2086.70627481817
10. Metro interstate,CTGAN,Random Forest,MAE,TRTR,1930.999919964286,13.20270044363371,2,1921.5552770242373,1940.4445629043346
10. Metro interstate,CTGAN,Random Forest,MAE,TSTR,1920.165035,16.83874939689781,2,1908.1193193307222,1932.2107506692778
10. Metro interstate,CTGAN,Random Forest,MSE,TRTR,5139450.179547728,52391.96224180777,2,5101971.22753977,5176929.131555686
10. Metro interstate,CTGAN,Random Forest,MSE,TSTR,4620776.820270751,114323.5674939507,2,4538994.666746729,4702558.973794772
10. Metro interstate,CTGAN,Random Forest,R2,TRTR,-0.2343740241317063,0.01258330658052369,2,-0.24337557939425244,-0.22537246886916015
10. Metro interstate,CTGAN,Random Forest,R2,TSTR,-0.1098009862903367,0.02745780912950089,2,-0.12944311967443486,-0.09015885290623855
10. Metro interstate,CTGAN,Random Forest,RMSE,TRTR,2267.006227835382,11.53006952796923,2,2258.758112972024,2275.2543426987404
10. Metro interstate,CTGAN,Random Forest,RMSE,TSTR,2149.432872000325,26.74227056898392,2,2130.302604066994,2168.563139933656
10. Metro interstate,CTGAN,Ridge,MAE,TRTR,1766.217034481751,0.0,2,1766.217034481751,1766.217034481751
10. Metro interstate,CTGAN,Ridge,MAE,TSTR,1888.487349647365,2.273736754432321e-13,2,1888.4873496473647,1888.4873496473651
10. Metro interstate,CTGAN,Ridge,MSE,TRTR,3974046.168202341,0.0,2,3974046.168202341,3974046.168202341
10. Metro interstate,CTGAN,Ridge,MSE,TSTR,4354728.148826943,0.0,2,4354728.148826943,4354728.148826943
10. Metro interstate,CTGAN,Ridge,R2,TRTR,0.04552837572971813,0.0,2,0.04552837572971813,0.04552837572971813
10. Metro interstate,CTGAN,Ridge,R2,TSTR,-0.04590240614807595,0.0,2,-0.04590240614807595,-0.04590240614807595
10. Metro interstate,CTGAN,Ridge,RMSE,TRTR,1993.500982744262,2.273736754432321e-13,2,1993.5009827442618,1993.5009827442623
10. Metro interstate,CTGAN,Ridge,RMSE,TSTR,2086.798540546486,0.0,2,2086.798540546486,2086.798540546486
10. Metro interstate,CTGAN,SVR_RBF,MAE,TRTR,1880.780361142787,2.273736754432321e-13,2,1880.7803611427867,1880.7803611427871
10. Metro interstate,CTGAN,SVR_RBF,MAE,TSTR,1898.112831296415,4.547473508864641e-13,2,1898.1128312964147,1898.1128312964152
10. Metro interstate,CTGAN,SVR_RBF,MSE,TRTR,4346479.043141305,0.0,2,4346479.043141305,4346479.043141305
10. Metro interstate,CTGAN,SVR_RBF,MSE,TSTR,4515642.114948869,0.0,2,4515642.114948869,4515642.114948869
10. Metro interstate,CTGAN,SVR_RBF,R2,TRTR,-0.04392116663315893,0.0,2,-0.04392116663315893,-0.04392116663315893
10. Metro interstate,CTGAN,SVR_RBF,R2,TSTR,-0.0845501238925439,0.0,2,-0.0845501238925439,-0.0845501238925439
10. Metro interstate,CTGAN,SVR_RBF,RMSE,TRTR,2084.821105788529,4.547473508864641e-13,2,2084.8211057885287,2084.8211057885296
10. Metro interstate,CTGAN,SVR_RBF,RMSE,TSTR,2125.004027042977,4.547473508864641e-13,2,2125.0040270429768,2125.0040270429777
10. Metro interstate,CopulaGAN,Decision Tree,MAE,TRTR,2310.0295,15.72897778782836,2,2298.7776671153397,2321.2813328846605
10. Metro interstate,CopulaGAN,Decision Tree,MAE,TSTR,2486.883,191.7604073733679,2,2349.7058682903235,2624.060131709676
10. Metro interstate,CopulaGAN,Decision Tree,MSE,TRTR,8208006.922500001,59934.21790229055,2,8165132.565818587,8250881.279181415
10. Metro interstate,CopulaGAN,Decision Tree,MSE,TSTR,9191292.303,1376145.113200007,2,8206857.392630268,10175727.21336973
10. Metro interstate,CopulaGAN,Decision Tree,R2,TRTR,-0.9713685668840988,0.01439477748605155,2,-0.9816659703689112,-0.9610711633992863
10. Metro interstate,CopulaGAN,Decision Tree,R2,TSTR,-1.207530391514233,0.3305174136972294,2,-1.4439683059519512,-0.9710924770765148
10. Metro interstate,CopulaGAN,Decision Tree,RMSE,TRTR,2864.942789556814,10.47545065489349,2,2857.449103587496,2872.436475526132
10. Metro interstate,CopulaGAN,Decision Tree,RMSE,TSTR,3022.923673974151,230.7049291337709,2,2857.8873096727575,3187.9600382755443
10. Metro interstate,CopulaGAN,ElasticNet,MAE,TRTR,1758.370734499451,2.273736754432321e-13,2,1758.3707344994507,1758.3707344994511
