Dataset,Generator,Metric,Mean_CV,Std_CV,N
4. Forest cover dataset,TVAE,Accuracy,0.11284309707947851,0.048138048445082335,20
4. Forest cover dataset,TVAE,F1,0.12770381969957953,0.03701183822474337,20
4. Forest cover dataset,TVAE,Precision,0.07862205482521625,0.020301506228450325,20
4. Forest cover dataset,TVAE,Recall,0.11284309707947851,0.048138048445082335,20
4. Forest cover dataset,WGAN_GP,Accuracy,0.08328629966953364,0.0369589075529703,20
4. Forest cover dataset,WGAN_GP,F1,0.08194548001049304,0.047291847335054274,20
4. Forest cover dataset,WGAN_GP,Precision,0.0750905290211577,0.029363538063428465,20
4. Forest cover dataset,WGAN_GP,Recall,0.08328629966953364,0.0369589075529703,20
5. Bank Markting,CTABGAN,Accuracy,0.01752282869701538,0.03156488291073844,20
5. Bank Markting,CTABGAN,F1,0.013973560797704182,0.02210314409488783,20
5. Bank Markting,CTABGAN,Precision,0.01002280207293851,0.0037735350175458213,20
5. Bank Markting,CTABGAN,Recall,0.01752282869701538,0.03156488291073844,20
5. Bank Markting,CTGAN,Accuracy,0.011319012501588356,0.007120055288799239,20
5. Bank Markting,CTGAN,F1,0.009751517251882471,0.003633438562591508,20
5. Bank Markting,CTGAN,Precision,0.01181946675603494,0.004672885033902408,20
5. Bank Markting,CTGAN,Recall,0.011319012501588356,0.007120055288799239,20
5. Bank Markting,CopulaGAN,Accuracy,0.006973488481709698,0.004836187833071899,20
5. Bank Markting,CopulaGAN,F1,0.006841379246088662,0.0025001888822351517,20
5. Bank Markting,CopulaGAN,Precision,0.007483321738115545,0.0013963196943384902,20
5. Bank Markting,CopulaGAN,Recall,0.006973488481709698,0.004836187833071899,20
5. Bank Markting,ForestDiffusion,Accuracy,0.007460699551716956,0.005440653498356654,20
5. Bank Markting,ForestDiffusion,F1,0.008550949163070875,0.003132124066882251,20
5. Bank Markting,ForestDiffusion,Precision,0.010050841987833991,0.002315640987549597,20
5. Bank Markting,ForestDiffusion,Recall,0.007460699551716956,0.005440653498356654,20
5. Bank Markting,GaussianCopula,Accuracy,0.008926310522772379,0.01158118287726793,20
5. Bank Markting,GaussianCopula,F1,0.005591369416494689,0.005817241736607127,20
5. Bank Markting,GaussianCopula,Precision,0.01390541157574467,0.013647589341905094,20
5. Bank Markting,GaussianCopula,Recall,0.008926310522772379,0.01158118287726793,20
5. Bank Markting,TVAE,Accuracy,0.006583674696184839,0.004614268471868925,20
5. Bank Markting,TVAE,F1,0.006811050972991915,0.0021607179540796026,20
5. Bank Markting,TVAE,Precision,0.01101544358879031,0.003792333679009739,20
5. Bank Markting,TVAE,Recall,0.006583674696184839,0.004614268471868925,20
5. Bank Markting,TabDDPM,Accuracy,0.025343516924624877,0.038997755783367186,20
5. Bank Markting,TabDDPM,F1,0.014043740491461797,0.023201752166432676,20
5. Bank Markting,TabDDPM,Precision,0.013164446980766594,0.015397124479583836,20
5. Bank Markting,TabDDPM,Recall,0.025343516924624877,0.038997755783367186,20
5. Bank Markting,WGAN_GP,Accuracy,0.007689451690066754,0.01831194612211301,20
5. Bank Markting,WGAN_GP,F1,0.005518636613692328,0.010522621684853224,20
5. Bank Markting,WGAN_GP,Precision,0.022908274620792285,0.02106149369491338,20
5. Bank Markting,WGAN_GP,Recall,0.007689451690066754,0.01831194612211301,20
6. Wine dataset,CTABGAN,Accuracy,0.06456725251988901,0.02812129760545754,20
6. Wine dataset,CTABGAN,F1,0.07658107096306396,0.017578575974584325,20
6. Wine dataset,CTABGAN,Precision,0.15514062248979504,0.08553130376454379,20
6. Wine dataset,CTABGAN,Recall,0.06456725251988901,0.02812129760545754,20
6. Wine dataset,CTGAN,Accuracy,0.11013478715347931,0.023198664047809542,20
6. Wine dataset,CTGAN,F1,0.12251032883218523,0.019100387179463017,20
6. Wine dataset,CTGAN,Precision,0.13014387092895302,0.033963031143178744,20
6. Wine dataset,CTGAN,Recall,0.11013478715347931,0.023198664047809542,20
6. Wine dataset,CopulaGAN,Accuracy,0.11505234101173134,0.03801050334539074,20
6. Wine dataset,CopulaGAN,F1,0.10099579712313592,0.03172947429293494,20
6. Wine dataset,CopulaGAN,Precision,0.09515576810805074,0.028703273578531457,20
6. Wine dataset,CopulaGAN,Recall,0.11505234101173134,0.03801050334539074,20
6. Wine dataset,ForestDiffusion,Accuracy,0.0886597141713372,0.017100368940220705,18
