Dataset,Generator,Retention,Utility,Privacy,Fidelity,Metric
10. Metro interstate,CTABGAN,-1.4035137351589557,1.0,1.0,1.0,R2
10. Metro interstate,CTGAN,-0.44291059751614525,0.9305736563946477,0.036906315997599526,0.5888060679674432,R2
10. Metro interstate,CopulaGAN,0.0777544697801184,0.9505703064638199,0.035956572367300765,0.4739179483222733,R2
10. Metro interstate,GaussianCopula,-1.4244602828296362,0.8883852174328357,0.0,0.0,R2
10. Metro interstate,TVAE,-12.575569759439528,0.7020134651687988,0.03728755969339803,0.9054198547282281,R2
10. Metro interstate,WGAN_GP,-27.41656210555264,0.0,0.9986082480422211,0.7603249292090875,R2
11. online shopping,CTABGAN,-1.4492097943409945,0.9947779391940117,0.5503515675871391,1.0,R2
11. online shopping,CTGAN,-1.5548833745454669,0.992020273708688,0.5503515675871391,0.6726368517550372,R2
11. online shopping,CopulaGAN,-4.582365998956109,0.9876273675202513,0.5503515675871391,0.6823593667195279,R2
11. online shopping,GaussianCopula,-0.11665015760964459,1.0,0.5503515675871391,0.7049002795094982,R2
11. online shopping,TVAE,-3.746982550296612,0.989015744325953,0.5503515675871391,0.6072036859369577,R2
11. online shopping,WGAN_GP,-221.97600310287348,0.0,0.5503515675871391,0.0,R2
12. Air Quality,CTABGAN,0.16103484705421883,0.24374013005341225,0.7252224620799888,0.5277601758327498,R2
12. Air Quality,CTGAN,-0.06624475661822651,0.0,0.0,0.18990745124115074,R2
12. Air Quality,CopulaGAN,-0.01606265418391587,0.05708543998833106,0.90815753631034,0.0,R2
12. Air Quality,GaussianCopula,0.8897739177786372,1.0,1.0,1.0,R2
12. Air Quality,TVAE,0.20359569859008925,0.26498574752029375,0.9927323120096149,0.9224773145320704,R2
12. Air Quality,WGAN_GP,0.8724452665107416,0.9790913653234484,0.7252224620799888,0.9144517546302775,R2
13. Concrete Compressive Strength,CTABGAN,-0.1531678998182037,0.5004050033408083,0.6293133994288242,0.5634188921728125,R2
13. Concrete Compressive Strength,CTGAN,-0.866048215444547,0.1849260349537505,0.6090473736363073,0.0,R2
13. Concrete Compressive Strength,CopulaGAN,-1.6504978217987123,0.0,0.0,0.017370958371371353,R2
13. Concrete Compressive Strength,ForestDiffusion,0.9824260386266179,1.0,0.6293133994288242,0.9841587295132308,R2
13. Concrete Compressive Strength,GaussianCopula,0.7707294110585654,0.8805208281915919,1.0,0.5816028659479092,R2
13. Concrete Compressive Strength,TVAE,0.6266776559756921,0.8081937679012489,0.9082062240789899,0.7973807992043639,R2
13. Concrete Compressive Strength,TabDDPM,0.8863783501170985,0.9548078983214218,0.6293133994288242,1.0,R2
13. Concrete Compressive Strength,WGAN_GP,0.5312630103699754,0.7883973655599612,0.6293133994288242,0.5634188921728125,R2
14. Energy Efficiency,CTABGAN,-1.2786951700948568,0.0,0.4920371485373397,0.3795783912893107,R2
14. Energy Efficiency,CTGAN,-0.1389812818890402,0.49932727869093513,0.084382424767388,0.15573816927559536,R2
14. Energy Efficiency,CopulaGAN,-0.39923665368564853,0.37311920826798395,0.0,0.19488370854014028,R2
14. Energy Efficiency,ForestDiffusion,1.0083813445846819,1.0,0.4920371485373397,0.0,R2
14. Energy Efficiency,GaussianCopula,0.661614461845736,0.8532179560706429,1.0,0.6085648125466947,R2
14. Energy Efficiency,TVAE,0.8277824917456889,0.9277116638322277,0.8837661693819706,1.0,R2
14. Energy Efficiency,TabDDPM,0.676548143635379,0.8690490430362787,0.4920371485373397,0.31828365737343395,R2
14. Energy Efficiency,WGAN_GP,0.8860537399595054,0.9532147809385634,0.4920371485373397,0.3795783912893107,R2
