Dataset,Dataset_Short,Generator,Mapping_Method,Metric,Available,Mean
4. Forest cover dataset,ForestCover,WGAN_GP,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,CTABGAN,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CTABGAN,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,63.0334
4. Forest cover dataset,ForestCover,CTABGAN,Hungarian,Cosine Similarity,True,0.996078
4. Forest cover dataset,ForestCover,CTABGAN,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,TabDDPM,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,TabDDPM,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,636.1656
4. Forest cover dataset,ForestCover,TabDDPM,Hungarian,Cosine Similarity,True,0.891484
4. Forest cover dataset,ForestCover,TabDDPM,Hungarian,Mahalanobis Distance,True,636.1192608076418
4. Forest cover dataset,ForestCover,ForestDiffusion,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,ForestDiffusion,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,10.3564
4. Forest cover dataset,ForestCover,ForestDiffusion,Hungarian,Cosine Similarity,True,0.997509
4. Forest cover dataset,ForestCover,ForestDiffusion,Hungarian,Mahalanobis Distance,True,10.21356345113765
5. Bank Markting,Bank,CTGAN,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CTGAN,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,CTGAN,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CTGAN,One-to-One Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,CTGAN,Hungarian,Cosine Similarity,True,0.9996685798816864
5. Bank Markting,Bank,CTGAN,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,CopulaGAN,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CopulaGAN,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,CopulaGAN,Hungarian,Cosine Similarity,True,0.9994728773158172
5. Bank Markting,Bank,CopulaGAN,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,TVAE,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,TVAE,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,TVAE,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,TVAE,One-to-One Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,TVAE,Hungarian,Cosine Similarity,True,0.9989676630292432
5. Bank Markting,Bank,TVAE,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,GaussianCopula,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,GaussianCopula,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,GaussianCopula,Hungarian,Cosine Similarity,True,0.9931425769281476
5. Bank Markting,Bank,GaussianCopula,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,WGAN_GP,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,WGAN_GP,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,2.2412
5. Bank Markting,Bank,WGAN_GP,Hungarian,Cosine Similarity,True,0.810998
5. Bank Markting,Bank,WGAN_GP,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,CTABGAN,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CTABGAN,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,1.3445
5. Bank Markting,Bank,CTABGAN,Hungarian,Cosine Similarity,True,0.939923
5. Bank Markting,Bank,CTABGAN,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,TabDDPM,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,TabDDPM,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,10.6833
5. Bank Markting,Bank,TabDDPM,Hungarian,Cosine Similarity,True,0.357519
5. Bank Markting,Bank,TabDDPM,Hungarian,Mahalanobis Distance,False,
5. Bank Markting,Bank,ForestDiffusion,Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,ForestDiffusion,Greedy,Mahalanobis Distance,False,
5. Bank Markting,Bank,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
5. Bank Markting,Bank,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,0.9368
5. Bank Markting,Bank,ForestDiffusion,Hungarian,Cosine Similarity,True,0.953458
5. Bank Markting,Bank,ForestDiffusion,Hungarian,Mahalanobis Distance,False,
6. Wine dataset,Wine,CTGAN,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CTGAN,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,CTGAN,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CTGAN,One-to-One Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,CTGAN,Hungarian,Cosine Similarity,False,
