Dataset,Generator,Classifier,Leakage,Mean,Std,N,TRTR_Mean,TRTR_Std,Utility_Loss,Utility_Drop_Pct
1. Cancer,TVAE,SVM-RBF,0,0.9043859649122806,0.02400689856737546,2,0.9701754385964912,0.01889531511275264,0.06578947368421062,6.781193490054259
1. Cancer,TabDDPM,AdaBoost,0,0.4754385964912281,0.1522277375756847,2,0.9666666666666666,0.01022974016639526,0.49122807017543846,50.816696914700536
1. Cancer,TabDDPM,Decision Tree,0,0.5745614035087719,0.1279168753250364,2,0.9350877192982457,0.02045948033279054,0.3605263157894738,38.55534709193247
1. Cancer,TabDDPM,Extra Trees,0,0.5026315789473684,0.07992089810451299,2,0.9701754385964912,0.01189882453179872,0.4675438596491228,48.19168173598553
1. Cancer,TabDDPM,Gradient Boosting,0,0.4885964912280702,0.08201168006057966,2,0.9631578947368421,0.0203084857943688,0.4745614035087719,49.271402550091075
1. Cancer,TabDDPM,KNN,0,0.2289473684210526,0.04763569818380865,2,0.962280701754386,0.01883413206454726,0.7333333333333334,76.20783956244304
1. Cancer,TabDDPM,Logistic Regression,0,0.5956140350877193,0.04763569818380865,2,0.9789473684210526,0.009768007654087744,0.3833333333333333,39.157706093189965
1. Cancer,TabDDPM,MLP,0,0.5807017543859649,0.07543859649122807,2,0.974561403508772,0.01327433855300136,0.393859649122807,40.41404140414041
1. Cancer,TabDDPM,Naive Bayes,0,0.4771929824561403,0.1403070106886471,2,0.9324561403508772,0.02322491630679601,0.4552631578947369,48.82408278457197
1. Cancer,TabDDPM,Random Forest,0,0.5517543859649123,0.08580812770322103,2,0.962280701754386,0.0136176971019825,0.41052631578947363,42.66180492251595
1. Cancer,TabDDPM,SVM-RBF,0,0.6201754385964913,0.01180142460269623,2,0.968421052631579,0.01806250901927543,0.3482456140350877,35.96014492753623
1. Cancer,WGAN_GP,AdaBoost,0,0.9429824561403508,0.01808379660358624,2,0.9666666666666666,0.01022974016639526,0.023684210526315752,2.45009074410163
1. Cancer,WGAN_GP,Decision Tree,0,0.9043859649122806,0.03100104745100403,2,0.9350877192982457,0.02045948033279054,0.03070175438596512,3.28330206378989
1. Cancer,WGAN_GP,Extra Trees,0,0.9482456140350877,0.01774013018961111,2,0.9701754385964912,0.01189882453179872,0.021929824561403577,2.26039783001809
1. Cancer,WGAN_GP,Gradient Boosting,0,0.9421052631578947,0.01848360307518023,2,0.9631578947368421,0.0203084857943688,0.021052631578947434,2.185792349726783
1. Cancer,WGAN_GP,KNN,0,0.9394736842105262,0.01685032694061277,2,0.962280701754386,0.01883413206454726,0.02280701754385972,2.370100273473116
1. Cancer,WGAN_GP,Logistic Regression,0,0.95,0.01712212394380976,2,0.9789473684210526,0.009768007654087744,0.02894736842105261,2.956989247311826
1. Cancer,WGAN_GP,MLP,0,0.9429824561403508,0.02047827636829603,2,0.974561403508772,0.01327433855300136,0.03157894736842115,3.2403240324032505
