Dataset,Generator,Classifier,Leakage,Mean,Std,N
3. Adult,TVAE,MLP,0,0.6649545725430873,0.01424548575135513,2
3. Adult,TVAE,Naive Bayes,0,0.5323109684543187,0.03958369246888181,2
3. Adult,TVAE,Random Forest,0,0.6795037080083114,0.009001529566553694,2
3. Adult,TVAE,SVM-RBF,0,0.6747035900414726,0.007070001897101652,2
3. Adult,TabDDPM,AdaBoost,0,0.5488756106178502,0.07559652370376714,2
3. Adult,TabDDPM,Decision Tree,0,0.5585204539883526,0.07763899105273228,2
3. Adult,TabDDPM,Extra Trees,0,0.6039978948807547,0.05700630742689323,2
3. Adult,TabDDPM,Gradient Boosting,0,0.4091344775251774,0.1220295067774568,2
3. Adult,TabDDPM,KNN,0,0.6279760268799872,0.05528025871606659,2
3. Adult,TabDDPM,Logistic Regression,0,0.09727722370394457,0.01464171707055061,2
3. Adult,TabDDPM,MLP,0,0.3571250032074406,0.2925635451498613,2
3. Adult,TabDDPM,Naive Bayes,0,0.5443376427995192,0.1772402845995828,2
3. Adult,TabDDPM,Random Forest,0,0.5395203310251679,0.1034656199890816,2
3. Adult,TabDDPM,SVM-RBF,0,0.09727722370394457,0.01464171707055061,2
3. Adult,WGAN_GP,AdaBoost,0,0.4099330213009528,0.07492506757683282,2
3. Adult,WGAN_GP,Decision Tree,0,0.4635342046055648,0.05030594471947832,2
3. Adult,WGAN_GP,Extra Trees,0,0.1844530659548037,0.0400773698459206,2
3. Adult,WGAN_GP,Gradient Boosting,0,0.2095461409137212,0.03581158992586431,2
3. Adult,WGAN_GP,KNN,0,0.3405047563380191,0.04106259011887049,2
3. Adult,WGAN_GP,Logistic Regression,0,0.2986286255929107,0.02877583905099596,2
3. Adult,WGAN_GP,MLP,0,0.322152552896792,0.05492395725123187,2
3. Adult,WGAN_GP,Naive Bayes,0,0.4504280246267679,0.03102568569318226,2
3. Adult,WGAN_GP,Random Forest,0,0.2168471822439862,0.04289579933904882,2
3. Adult,WGAN_GP,SVM-RBF,0,0.2037060523862755,0.03190346110537635,2
4. Forest cover dataset,CTABGAN,AdaBoost,0,0.3431816923411656,0.02709569007093133,2
4. Forest cover dataset,CTABGAN,Decision Tree,0,0.2691036205710317,0.03701337901325606,2
4. Forest cover dataset,CTABGAN,Extra Trees,0,0.3486062784839703,0.02219812827370476,2
4. Forest cover dataset,CTABGAN,Gradient Boosting,0,0.2591969353852582,0.03490368889671417,2
4. Forest cover dataset,CTABGAN,KNN,0,0.3230494607154686,0.01795307018575228,2
4. Forest cover dataset,CTABGAN,Logistic Regression,0,0.3100397332948435,0.01956269543254721,2
4. Forest cover dataset,CTABGAN,MLP,0,0.296925824864521,0.04718997121412737,2
4. Forest cover dataset,CTABGAN,Naive Bayes,0,0.3996914738671745,0.02969956922676134,2
4. Forest cover dataset,CTABGAN,Random Forest,0,0.329895327586025,0.02127479219985625,2
4. Forest cover dataset,CTABGAN,SVM-RBF,0,0.3224108084789661,0.01861410913896062,2
4. Forest cover dataset,CTGAN,AdaBoost,0,0.09447107463112418,0.05058791651419594,2
4. Forest cover dataset,CTGAN,Decision Tree,0,0.1987410782723985,0.05606702360087804,2
4. Forest cover dataset,CTGAN,Extra Trees,0,0.1448930063828089,0.02710805653726381,2
4. Forest cover dataset,CTGAN,Gradient Boosting,0,0.1902827961122945,0.03662974929408506,2
4. Forest cover dataset,CTGAN,KNN,0,0.2213601164656396,0.02779278231769949,2
4. Forest cover dataset,CTGAN,Logistic Regression,0,0.1355881754495257,0.04250900885235298,2
4. Forest cover dataset,CTGAN,MLP,0,0.1910701467739568,0.05565904381698319,2
4. Forest cover dataset,CTGAN,Naive Bayes,0,0.1864000516835442,0.02404625911686482,2
4. Forest cover dataset,CTGAN,Random Forest,0,0.1415356090699725,0.03215422770634336,2
4. Forest cover dataset,CTGAN,SVM-RBF,0,0.1244175004508626,0.0430387337429746,2
4. Forest cover dataset,CopulaGAN,AdaBoost,0,0.04951931876481368,0.05035512310262753,2
4. Forest cover dataset,CopulaGAN,Decision Tree,0,0.1258035013249564,0.05722763838541132,2
4. Forest cover dataset,CopulaGAN,Extra Trees,0,0.1094004810968,0.03634178305004693,2
4. Forest cover dataset,CopulaGAN,Gradient Boosting,0,0.09171709729377761,0.03988299771095975,2
4. Forest cover dataset,CopulaGAN,KNN,0,0.2348821091731803,0.05379301966534444,2
4. Forest cover dataset,CopulaGAN,Logistic Regression,0,0.05857616624611197,0.02763254624058126,2
4. Forest cover dataset,CopulaGAN,MLP,0,0.1700253600263223,0.0568617265780987,2
4. Forest cover dataset,CopulaGAN,Naive Bayes,0,0.1678016541901944,0.04613949288995881,2
4. Forest cover dataset,CopulaGAN,Random Forest,0,0.07735320611583704,0.0290455220413252,2
4. Forest cover dataset,CopulaGAN,SVM-RBF,0,0.04882622575214667,0.02487712773407769,2
