Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,F1,0.6863330842765026,0.6863330842765026,0.02683187254311334,Extra Trees,,,0,0.0,100,TSTR,classification,Utility,0.6863330842765026,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.2726568539232963,0.2726568539232963,0.02683187254311334,Extra Trees,,,0,0.0,100,Gap,classification,Utility,0.6863330842765026,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.971542217000243,0.971542217000243,0.02506278422086412,Extra Trees,,,0,0.0,100,TRTR,classification,Utility,0.971542217000243,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.5632094750718591,0.5632094750718591,0.02550146867181092,Extra Trees,,,0,0.0,100,TSTR,classification,Utility,0.5632094750718591,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9476190476190476,0.9476190476190476,0.02776643759450141,Extra Trees,,,0,0.0,100,TRTR,classification,Utility,0.9476190476190476,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.880952380952381,0.880952380952381,0.05323971374999498,Extra Trees,,,0,0.0,100,TSTR,classification,Utility,0.880952380952381,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.2666666666666667,0.2666666666666667,,Extra Trees,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.2726568539232963,0.2726568539232963,,Extra Trees,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.4083327419283839,0.4083327419283839,,Extra Trees,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.06666666666666654,0.06666666666666654,,Extra Trees,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
