Dataset,Generator,Classifier,Leakage,Mean,Std,N
4. Forest cover dataset,CTABGAN,AdaBoost,0,0.3774999999999999,0.04638306683358581,2
4. Forest cover dataset,CTABGAN,Decision Tree,0,0.2345,0.04119398553726557,2
4. Forest cover dataset,CTABGAN,Extra Trees,0,0.357,0.02594866727470476,2
4. Forest cover dataset,CTABGAN,Gradient Boosting,0,0.2285,0.04048662330531735,2
4. Forest cover dataset,CTABGAN,KNN,0,0.3455,0.0210092572188759,2
4. Forest cover dataset,CTABGAN,Logistic Regression,0,0.33,0.02896357866163794,2
4. Forest cover dataset,CTABGAN,MLP,0,0.2805,0.05134036748342705,2
4. Forest cover dataset,CTABGAN,Naive Bayes,0,0.363,0.04131182235954578,2
4. Forest cover dataset,CTABGAN,Random Forest,0,0.3385,0.02991190769948019,2
4. Forest cover dataset,CTABGAN,SVM-RBF,0,0.361,0.02366431913239846,2
4. Forest cover dataset,CTGAN,AdaBoost,0,0.08399999999999999,0.02970222587992729,2
4. Forest cover dataset,CTGAN,Decision Tree,0,0.1535,0.04422480450305386,2
4. Forest cover dataset,CTGAN,Extra Trees,0,0.1225,0.02071633815776009,2
4. Forest cover dataset,CTGAN,Gradient Boosting,0,0.1475,0.02898754521821014,2
4. Forest cover dataset,CTGAN,KNN,0,0.1745,0.02033743128104213,2
4. Forest cover dataset,CTGAN,Logistic Regression,0,0.1085,0.02799305469417568,2
4. Forest cover dataset,CTGAN,MLP,0,0.1605,0.06889807286451809,2
4. Forest cover dataset,CTGAN,Naive Bayes,0,0.168,0.02955221367906867,2
4. Forest cover dataset,CTGAN,Random Forest,0,0.1125,0.02071633815776009,2
4. Forest cover dataset,CTGAN,SVM-RBF,0,0.1045,0.02948163270015191,2
4. Forest cover dataset,CopulaGAN,AdaBoost,0,0.045,0.03231786571610886,2
4. Forest cover dataset,CopulaGAN,Decision Tree,0,0.1005,0.03789239149662282,2
4. Forest cover dataset,CopulaGAN,Extra Trees,0,0.07999999999999999,0.02697735676039774,2
4. Forest cover dataset,CopulaGAN,Gradient Boosting,0,0.0695,0.03050045537000682,2
4. Forest cover dataset,CopulaGAN,KNN,0,0.189,0.04976611966656299,2
4. Forest cover dataset,CopulaGAN,Logistic Regression,0,0.05300000000000001,0.02110818693198342,2
4. Forest cover dataset,CopulaGAN,MLP,0,0.1385,0.07284115137292471,2
4. Forest cover dataset,CopulaGAN,Naive Bayes,0,0.128,0.03521363372331802,2
4. Forest cover dataset,CopulaGAN,Random Forest,0,0.06200000000000001,0.01782632260949458,2
4. Forest cover dataset,CopulaGAN,SVM-RBF,0,0.049,0.01629587541544042,2
4. Forest cover dataset,GaussianCopula,AdaBoost,0,0.496,0.03549647869859771,2
4. Forest cover dataset,GaussianCopula,Decision Tree,0,0.4245,0.03624377341159597,2
4. Forest cover dataset,GaussianCopula,Extra Trees,0,0.4715,0.03383374383987416,2
4. Forest cover dataset,GaussianCopula,Gradient Boosting,0,0.5045000000000001,0.03312015163679728,2
4. Forest cover dataset,GaussianCopula,KNN,0,0.421,0.0211869981094276,2
4. Forest cover dataset,GaussianCopula,Logistic Regression,0,0.534,0.01822696415265644,2
4. Forest cover dataset,GaussianCopula,MLP,0,0.372,0.05292552419306881,2
4. Forest cover dataset,GaussianCopula,Naive Bayes,0,0.402,0.04151305015694864,2
4. Forest cover dataset,GaussianCopula,Random Forest,0,0.5085000000000001,0.03416056856149273,2
4. Forest cover dataset,GaussianCopula,SVM-RBF,0,0.538,0.01531157877047448,2
4. Forest cover dataset,TVAE,AdaBoost,0,0.336,0.06410928169929843,2
4. Forest cover dataset,TVAE,Decision Tree,0,0.3435,0.04441283598240491,2
4. Forest cover dataset,TVAE,Extra Trees,0,0.3805000000000001,0.02976295236251494,2
4. Forest cover dataset,TVAE,Gradient Boosting,0,0.33,0.04714045207910316,2
4. Forest cover dataset,TVAE,KNN,0,0.4245,0.01606410768002865,2
4. Forest cover dataset,TVAE,Logistic Regression,0,0.423,0.04230839160261236,2
4. Forest cover dataset,TVAE,MLP,0,0.361,0.06715653356152326,2
4. Forest cover dataset,TVAE,Naive Bayes,0,0.402,0.02770880325416054,2
4. Forest cover dataset,TVAE,Random Forest,0,0.385,0.03800584750330461,2
4. Forest cover dataset,TVAE,SVM-RBF,0,0.441,0.04221637386396684,2
4. Forest cover dataset,WGAN_GP,AdaBoost,0,0.413,0.05884065110297661,2
4. Forest cover dataset,WGAN_GP,Decision Tree,0,0.358,0.02428991560298225,2
4. Forest cover dataset,WGAN_GP,Extra Trees,0,0.4145,0.02488305983328148,2
