Dataset,Generator,Mapping_Method,Metric,Available,Mean
3. Adult,TabDDPM,Hungarian,Cosine Similarity,1,0.7988756851244702
3. Adult,TabDDPM,Hungarian,Mahalanobis Distance,1,11.73058872994562
3. Adult,ForestDiffusion,Greedy,Cosine Similarity,0,
3. Adult,ForestDiffusion,Greedy,Mahalanobis Distance,0,
3. Adult,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
3. Adult,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,0.8831
3. Adult,ForestDiffusion,Hungarian,Cosine Similarity,1,0.9997905968172516
3. Adult,ForestDiffusion,Hungarian,Mahalanobis Distance,1,0.7604998920067207
4. Forest cover dataset,CTGAN,Greedy,Cosine Similarity,0,
4. Forest cover dataset,CTGAN,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,CTGAN,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,CTGAN,One-to-One Greedy,Mahalanobis Distance,1,387.984
4. Forest cover dataset,CTGAN,Hungarian,Cosine Similarity,1,0.976664
4. Forest cover dataset,CTGAN,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,CopulaGAN,Greedy,Cosine Similarity,0,
4. Forest cover dataset,CopulaGAN,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,1,391.878
4. Forest cover dataset,CopulaGAN,Hungarian,Cosine Similarity,1,0.954908
4. Forest cover dataset,CopulaGAN,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,TVAE,Greedy,Cosine Similarity,0,
4. Forest cover dataset,TVAE,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,TVAE,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,TVAE,One-to-One Greedy,Mahalanobis Distance,1,191.5824
4. Forest cover dataset,TVAE,Hungarian,Cosine Similarity,1,0.985911
4. Forest cover dataset,TVAE,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,GaussianCopula,Greedy,Cosine Similarity,0,
4. Forest cover dataset,GaussianCopula,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,1,283.6519
4. Forest cover dataset,GaussianCopula,Hungarian,Cosine Similarity,1,0.997299
4. Forest cover dataset,GaussianCopula,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,WGAN_GP,Greedy,Cosine Similarity,0,
