Dataset,Generator,Greedy_Cosine,Greedy_Cosine_Note,Greedy_Cosine_Proxy_Pairwise,Cosine_Baseline_Method,Hungarian_Cosine,Delta_Cosine,Cosine_Improvement_Pct,Cosine_Pct_Unstable,Greedy_Mahalanobis,Hungarian_Mahalanobis,Delta_Mahalanobis,Mahalanobis_Improvement_Pct,Maha_Pct_Unstable,hung_src,nb_src,Num_Matches
Metro,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.006086,Pairwise (no assignment),0.9999827423012392,0.9938967423012391,16330.869903076555,False,0.587039,0.482782,0.10425699999999999,17.759808121777258,False,notebook_pair:sampled_table,10. Metro Interstate Traffic Volume.ipynb,5000.0
Metro,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.009913,Pairwise (no assignment),0.9957562261949416,0.9858432261949417,9944.953356147904,False,0.258434,0.291262,-0.032828000000000024,-12.702662962303732,False,notebook_pair:sampled_table,10. Metro Interstate Traffic Volume.ipynb,5000.0
Metro,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.037933,Pairwise (no assignment),0.992558973006293,1.0304919730062931,-2716.6107953662854,False,27.853218,27.790041,0.0631769999999996,0.22682118812985846,False,notebook_pair:sampled_table,10. Metro Interstate Traffic Volume.ipynb,5000.0
Metro,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.000365,Pairwise (no assignment),0.9930134503165852,0.9926484503165852,271958.4795387905,True,1.607389,1.468671,0.1387179999999999,8.630020486640129,False,notebook_pair:sampled_table,10. Metro Interstate_other GAN.ipynb,1000.0
Metro,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.003326,Pairwise (no assignment),0.9897666683510477,0.9864406683510476,29658.468681631017,False,1.498572,1.410562,0.08800999999999992,5.872924357321497,False,notebook_pair:sampled_table,10. Metro Interstate_other GAN.ipynb,1000.0
Metro,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.037414,Pairwise (no assignment),0.9498556148901524,0.9872696148901523,-2638.7705535097884,False,13.596022,13.548747,0.04727499999999907,0.3477119998776044,False,notebook_pair:sampled_table,10. Metro Interstate_diffusion.ipynb,1000.0
Metro,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.00882,Pairwise (no assignment),0.9962714485893248,0.9874514485893248,11195.594655207764,False,0.35574,0.297551,0.05818899999999999,16.357170967560577,False,notebook_pair:sampled_table,10. Metro Interstate_diffusion.ipynb,1000.0
OnlineShop,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004921,Pairwise (no assignment),0.9999978326412216,0.9950768326412216,20221.02890959605,False,,1.567793840720491,,,False,long_csv,,
OnlineShop,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.006996,Pairwise (no assignment),0.9999985902043173,0.9930025902043172,14193.86206695708,False,,1.58151116938155,,,False,long_csv,,
OnlineShop,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.017064,Pairwise (no assignment),0.9999769900404132,0.9829129900404132,5760.1558253657595,False,,2.384211658479305,,,False,long_csv,,
OnlineShop,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004029,Pairwise (no assignment),0.9999974157084122,0.9959684157084122,24719.99046186181,False,,1.587593292473918,,,False,long_csv,,
