Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
4. Forest cover dataset,ForestCover,CTABGAN,448.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.996078,excel_sheets_privacy_hungarian_matching,0.998325,0.970767,0.999946,
4. Forest cover dataset,ForestCover,WGAN_GP,448.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.997355,excel_sheets_privacy_hungarian_matching,0.998096,0.980256,0.99979,
4. Forest cover dataset,ForestCover,CopulaGAN,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.954908,excel_sheets_privacy_hungarian_matching,0.957362,0.880326,0.999627,
4. Forest cover dataset,ForestCover,CTGAN,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.976664,excel_sheets_privacy_hungarian_matching,0.980069,0.924371,0.99988,
4. Forest cover dataset,ForestCover,TVAE,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.985911,excel_sheets_privacy_hungarian_matching,0.990131,0.932818,0.99995,
4. Forest cover dataset,ForestCover,GaussianCopula,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.997299,excel_sheets_privacy_hungarian_matching,0.99797,0.956077,0.999918,
6. Wine dataset,Wine,ForestDiffusion,1000.0,excel sheets/2. Privacy/6. Wine dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.997669,excel_sheets_privacy_hungarian_matching,0.999616,0.956625,0.999998,
6. Wine dataset,Wine,TabDDPM,1000.0,excel sheets/2. Privacy/6. Wine dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.942491,excel_sheets_privacy_hungarian_matching,0.998567,0.573193,0.999959,
7. CDC diabetes dataset,CDC_Diabetes,CTABGAN,1000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.986286,excel_sheets_privacy_hungarian_matching,0.991642,0.899476,0.998182,
14. Energy Efficiency,Energy,WGAN_GP,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999045,excel_sheets_privacy_hungarian_matching,0.999332,0.995874,0.999996,
14. Energy Efficiency,Energy,CTABGAN,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.998061,excel_sheets_privacy_hungarian_matching,0.998779,0.991157,0.999999,
14. Energy Efficiency,Energy,ForestDiffusion,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999999,excel_sheets_privacy_hungarian_matching,1.0,0.999801,1.0,
14. Energy Efficiency,Energy,TabDDPM,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999033,excel_sheets_privacy_hungarian_matching,0.999223,0.993543,0.999997,
15. Real Estate Valuation,RealEstate,CTABGAN,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999655,excel_sheets_privacy_hungarian_matching,0.999979,0.982095,1.0,
15. Real Estate Valuation,RealEstate,WGAN_GP,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.998436,excel_sheets_privacy_hungarian_matching,0.999661,0.963963,1.0,
