Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
3. Adult,Adult,TabDDPM,,Generators/Diffusion GANs/3. Adult census_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,11.842,notebook_output_greedy_mean,,,,
14. Energy Efficiency,Energy,ForestDiffusion,,Generators/Diffusion GANs/14. Energy Efficiency_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,41.2109,notebook_output_greedy_mean,,,,
13. Concrete Compressive Strength,Concrete,WGAN_GP,,Generators/Other GANS/13. Concrete Compressive Strength_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,3.6759,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,CTABGAN,,Generators/Other GANS/4_Forest_Cover_other_GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,63.0334,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,WGAN_GP,,Generators/Other GANS/4_Forest_Cover_other_GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,485.347,notebook_output_greedy_mean,,,,
2. Alzhimers,Alzheimers,ForestDiffusion,,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,1.4367,notebook_output_greedy_mean,,,,
2. Alzhimers,Alzheimers,TabDDPM,,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,3.317,notebook_output_greedy_mean,,,,
12. Air Quality,AirQuality,ForestDiffusion,,Generators/Diffusion GANs/12. Air Quality_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,1.7287,notebook_output_greedy_mean,,,,
12. Air Quality,AirQuality,TabDDPM,,Generators/Diffusion GANs/12. Air Quality_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,6.392,notebook_output_greedy_mean,,,,
15. Real Estate Valuation,RealEstate,ForestDiffusion,,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.0773,notebook_output_greedy_mean,,,,
13. Concrete Compressive Strength,Concrete,CTABGAN,,Generators/Other GANS/13. Concrete Compressive Strength_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,3.3377,notebook_output_greedy_mean,,,,
14. Energy Efficiency,Energy,WGAN_GP,,Generators/Other GANS/14. Energy Efficiency_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,23616.3467,notebook_output_greedy_mean,,,,
14. Energy Efficiency,Energy,CTABGAN,,Generators/Other GANS/14. Energy Efficiency_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,21021.1892,notebook_output_greedy_mean,,,,
9. MAGIC Gamma Telescope,MAGIC,WGAN_GP,,Generators/Other GANS/9. MAGIC Gamma Telescope_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.209,notebook_output_greedy_mean,,,,
9. MAGIC Gamma Telescope,MAGIC,CTABGAN,,Generators/Other GANS/9. MAGIC Gamma Telescope_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.9498,notebook_output_greedy_mean,,,,
1. Cancer,Cancer,WGAN_GP,,Generators/Other GANS/1. Cancer_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,6.3872,notebook_output_greedy_mean,,,,
1. Cancer,Cancer,CTABGAN,,Generators/Other GANS/1. Cancer_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,50.2123,notebook_output_greedy_mean,,,,
12. Air Quality,AirQuality,WGAN_GP,,Generators/Other GANS/12. Air Quality_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,4.9184,notebook_output_greedy_mean,,,,
9. MAGIC Gamma Telescope,MAGIC,CTABGAN,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,1.864591197366024,excel_sheets_privacy_mahalanobis_summary,1.525678056446776,0.4534331576141509,9.963537586192702,1.096268332963922
1. Cancer,Cancer,CTGAN,,Generators/SDV models/1. Cancer.ipynb,One-to-One Greedy,Mahalanobis Distance,110.861512,notebook_output_summary_table,,,,
3. Adult,Adult,CTGAN,,Generators/SDV models/3. Adult census.ipynb,One-to-One Greedy,Mahalanobis Distance,1.768268,notebook_output_summary_table,,,,
2. Alzhimers,Alzheimers,TVAE,,Generators/SDV models/2. Alzhimers.ipynb,One-to-One Greedy,Mahalanobis Distance,4.814556,notebook_output_summary_table,,,,
2. Alzhimers,Alzheimers,CopulaGAN,,Generators/SDV models/2. Alzhimers.ipynb,One-to-One Greedy,Mahalanobis Distance,12.265453,notebook_output_summary_table,,,,
2. Alzhimers,Alzheimers,CTGAN,,Generators/SDV models/2. Alzhimers.ipynb,One-to-One Greedy,Mahalanobis Distance,10.223153,notebook_output_summary_table,,,,
2. Alzhimers,Alzheimers,GaussianCopula,,Generators/SDV models/2. Alzhimers.ipynb,One-to-One Greedy,Mahalanobis Distance,3.699365,notebook_output_summary_table,,,,
1. Cancer,Cancer,TVAE,,Generators/SDV models/1. Cancer.ipynb,One-to-One Greedy,Mahalanobis Distance,44.110818,notebook_output_summary_table,,,,
1. Cancer,Cancer,GaussianCopula,,Generators/SDV models/1. Cancer.ipynb,One-to-One Greedy,Mahalanobis Distance,6.494969,notebook_output_summary_table,,,,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,5000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.480346042408537,excel_sheets_privacy_mahalanobis_summary,0.1805994642218849,0.001063684159973615,37.54945569581285,1.341432956530183
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,5000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.577594273540177,excel_sheets_privacy_mahalanobis_summary,0.3759023286410815,0.008362803093818622,39.64637634678828,1.2321273420155
