dataset_id,problem_type,generator,seed,batch,batch_label
magic,classification,TabDDPM,2024,1st_batch,1st batch
magic,classification,WGAN_GP,2024,1st_batch,1st batch
mushroom,classification,CTABGAN,2024,1st_batch,1st batch
mushroom,classification,CTGAN,2024,1st_batch,1st batch
mushroom,classification,CopulaGAN,2024,1st_batch,1st batch
mushroom,classification,ForestDiffusion,2024,1st_batch,1st batch
mushroom,classification,GaussianCopula,2024,1st_batch,1st batch
mushroom,classification,TVAE,2024,1st_batch,1st batch
mushroom,classification,TabDDPM,2024,1st_batch,1st batch
mushroom,classification,WGAN_GP,2024,1st_batch,1st batch
wine,classification,CTABGAN,2024,1st_batch,1st batch
wine,classification,CTGAN,2024,1st_batch,1st batch
wine,classification,CopulaGAN,2024,1st_batch,1st batch
wine,classification,ForestDiffusion,2024,1st_batch,1st batch
wine,classification,GaussianCopula,2024,1st_batch,1st batch
wine,classification,TVAE,2024,1st_batch,1st batch
wine,classification,TabDDPM,2024,1st_batch,1st batch
wine,classification,WGAN_GP,2024,1st_batch,1st batch
air_quality,regression,CTABGAN,2024,1st_batch,1st batch
air_quality,regression,CTGAN,2024,1st_batch,1st batch
air_quality,regression,CopulaGAN,2024,1st_batch,1st batch
air_quality,regression,ForestDiffusion,2024,1st_batch,1st batch
air_quality,regression,GaussianCopula,2024,1st_batch,1st batch
air_quality,regression,TVAE,2024,1st_batch,1st batch
air_quality,regression,TabDDPM,2024,1st_batch,1st batch
air_quality,regression,WGAN_GP,2024,1st_batch,1st batch
concrete,regression,CTABGAN,2024,1st_batch,1st batch
concrete,regression,CTGAN,2024,1st_batch,1st batch
concrete,regression,CopulaGAN,2024,1st_batch,1st batch
concrete,regression,ForestDiffusion,2024,1st_batch,1st batch
concrete,regression,GaussianCopula,2024,1st_batch,1st batch
concrete,regression,TVAE,2024,1st_batch,1st batch
concrete,regression,TabDDPM,2024,1st_batch,1st batch
concrete,regression,WGAN_GP,2024,1st_batch,1st batch
energy_efficiency,regression,CTABGAN,2024,1st_batch,1st batch
energy_efficiency,regression,CTGAN,2024,1st_batch,1st batch
energy_efficiency,regression,CopulaGAN,2024,1st_batch,1st batch
energy_efficiency,regression,ForestDiffusion,2024,1st_batch,1st batch
energy_efficiency,regression,GaussianCopula,2024,1st_batch,1st batch
energy_efficiency,regression,TVAE,2024,1st_batch,1st batch
energy_efficiency,regression,TabDDPM,2024,1st_batch,1st batch
energy_efficiency,regression,WGAN_GP,2024,1st_batch,1st batch
metro,regression,CTABGAN,2024,1st_batch,1st batch
metro,regression,CTGAN,2024,1st_batch,1st batch
metro,regression,CopulaGAN,2024,1st_batch,1st batch
metro,regression,ForestDiffusion,2024,1st_batch,1st batch
metro,regression,GaussianCopula,2024,1st_batch,1st batch
metro,regression,TVAE,2024,1st_batch,1st batch
metro,regression,TabDDPM,2024,1st_batch,1st batch
metro,regression,WGAN_GP,2024,1st_batch,1st batch
online_shopping,regression,CTABGAN,2024,1st_batch,1st batch
online_shopping,regression,CTGAN,2024,1st_batch,1st batch
online_shopping,regression,CopulaGAN,2024,1st_batch,1st batch
online_shopping,regression,ForestDiffusion,2024,1st_batch,1st batch
online_shopping,regression,GaussianCopula,2024,1st_batch,1st batch
online_shopping,regression,TVAE,2024,1st_batch,1st batch
online_shopping,regression,TabDDPM,2024,1st_batch,1st batch
online_shopping,regression,WGAN_GP,2024,1st_batch,1st batch
real_estate,regression,CTABGAN,2024,1st_batch,1st batch
real_estate,regression,CTGAN,2024,1st_batch,1st batch
real_estate,regression,CopulaGAN,2024,1st_batch,1st batch
real_estate,regression,ForestDiffusion,2024,1st_batch,1st batch
real_estate,regression,GaussianCopula,2024,1st_batch,1st batch
real_estate,regression,TVAE,2024,1st_batch,1st batch
real_estate,regression,TabDDPM,2024,1st_batch,1st batch
real_estate,regression,WGAN_GP,2024,1st_batch,1st batch
adult,classification,CTABGAN,68,2nd_batch,2nd batch
adult,classification,CTGAN,68,2nd_batch,2nd batch
adult,classification,CopulaGAN,68,2nd_batch,2nd batch
