dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Accuracy_Gap,-0.0052631578947365,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,F1_TSTR,0.9635721470792984,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,F1_Gap,-0.0055822284115599,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Precision_TRTR,0.9585588829451,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Precision_TSTR,0.964571600539423,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Precision_Gap,-0.006012717594323,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Recall_TRTR,0.958187134502924,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Recall_TSTR,0.9634502923976604,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Recall_Gap,-0.0052631578947365,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,ROC_AUC_TRTR,0.9709325396825398,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,ROC_AUC_TSTR,0.9809082892416224,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,ROC_AUC_Gap,-0.0099757495590826,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Privacy,Mahalanobis_Distance,44.38181328341296,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Privacy,Mean_Distance,44.38181328341296,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Privacy,Median_Distance,33.98199725381232,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Privacy,NNDR,0.9507224999726478,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Privacy,MIA_AUC,0.7682716049382716,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Compute,training_time_seconds,12.57795285712928,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
