Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
8. Mushroom dataset,CTGAN,,fidelity,Quality_Score,0.878921,0.878921,,,,,,0.0,,,Fidelity,0.878921,Generators/SDV models/8. Mushroom.ipynb
8. Mushroom dataset,CopulaGAN,,fidelity,Quality_Score,0.892834,0.892834,,,,,,0.0,,,Fidelity,0.892834,Generators/SDV models/8. Mushroom.ipynb
8. Mushroom dataset,GaussianCopula,,fidelity,Quality_Score,0.909833,0.909833,,,,,,0.0,,,Fidelity,0.909833,Generators/SDV models/8. Mushroom.ipynb
8. Mushroom dataset,TVAE,,fidelity,Quality_Score,0.914558,0.914558,,,,,,0.0,,,Fidelity,0.914558,Generators/SDV models/8. Mushroom.ipynb
7. CDC diabetes dataset,CTABGAN,,fidelity,Quality_Score,0.760273,0.760273,,,,,,0.0,,,Fidelity,0.760273,Generators/Other GANS/7_CDC_diabetes_other_GAN.ipynb
7. CDC diabetes dataset,WGAN_GP,,fidelity,Quality_Score,0.847955,0.847955,,,,,,0.0,,,Fidelity,0.847955,Generators/Other GANS/7_CDC_diabetes_other_GAN.ipynb
7. CDC diabetes dataset,CTGAN,,fidelity,Quality_Score,0.87481,0.87481,,,,,,0.0,,,Fidelity,0.87481,Generators/SDV models/7. Heart.ipynb
7. CDC diabetes dataset,CopulaGAN,,fidelity,Quality_Score,0.88296,0.88296,,,,,,0.0,,,Fidelity,0.88296,Generators/SDV models/7. Heart.ipynb
7. CDC diabetes dataset,TVAE,,fidelity,Quality_Score,0.916702,0.916702,,,,,,0.0,,,Fidelity,0.916702,Generators/SDV models/7. Heart.ipynb
7. CDC diabetes dataset,GaussianCopula,,fidelity,Quality_Score,0.923657,0.923657,,,,,,0.0,,,Fidelity,0.923657,Generators/SDV models/7. Heart.ipynb
6. Wine dataset,TabDDPM,,fidelity,Quality_Score,0.761333,0.761333,,,,,,0.0,,,Fidelity,0.761333,Generators/Diffusion GANs/6. Winequality_diffusion.ipynb
6. Wine dataset,ForestDiffusion,,fidelity,Quality_Score,0.857667,0.857667,,,,,,0.0,,,Fidelity,0.857667,Generators/Diffusion GANs/6. Winequality_diffusion.ipynb
6. Wine dataset,WGAN_GP,,fidelity,Quality_Score,0.716417,0.716417,,,,,,0.0,,,Fidelity,0.716417,Generators/Other GANS/6. Winequality_other GAN.ipynb
6. Wine dataset,CTABGAN,,fidelity,Quality_Score,0.834,0.834,,,,,,0.0,,,Fidelity,0.834,Generators/Other GANS/6. Winequality_other GAN.ipynb
6. Wine dataset,CopulaGAN,,fidelity,Quality_Score,0.869136,0.869136,,,,,,0.0,,,Fidelity,0.869136,Generators/SDV models/6. Wine quality.ipynb
6. Wine dataset,CTGAN,,fidelity,Quality_Score,0.870891,0.870891,,,,,,0.0,,,Fidelity,0.870891,Generators/SDV models/6. Wine quality.ipynb
