dataset,generator,seed,status,start_time,end_time,error
adult,WGAN_GP,123,FAILED,2026-09-12T17:44:51.864359+00:00,2026-09-12T17:48:16.409403+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,WGAN_GP,2024,FAILED,2026-09-12T17:48:16.444557+00:00,2026-09-12T17:51:39.721696+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TabDDPM,42,FAILED,2026-09-12T17:51:39.757199+00:00,2026-09-12T17:52:34.610401+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TabDDPM,123,FAILED,2026-09-12T17:52:34.645240+00:00,2026-09-12T17:53:31.524048+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TabDDPM,2024,FAILED,2026-09-12T17:53:31.573973+00:00,2026-09-12T17:54:28.510052+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,ForestDiffusion,42,FAILED,2026-09-12T17:54:28.544687+00:00,2026-09-12T17:56:28.203767+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,ForestDiffusion,123,FAILED,2026-09-12T17:56:28.241699+00:00,2026-09-12T17:58:23.802666+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,ForestDiffusion,2024,FAILED,2026-09-12T17:58:23.844188+00:00,2026-09-12T18:00:18.861773+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CTGAN,42,FAILED,2026-09-12T18:00:18.890314+00:00,2026-09-12T18:13:54.639316+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CTGAN,123,FAILED,2026-09-12T18:13:54.676667+00:00,2026-09-12T18:27:22.864419+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CTGAN,2024,FAILED,2026-09-12T18:27:22.887005+00:00,2026-09-12T18:40:55.447692+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CopulaGAN,42,FAILED,2026-09-12T18:40:55.471764+00:00,2026-09-12T18:54:26.435019+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CopulaGAN,123,FAILED,2026-09-12T18:54:26.460060+00:00,2026-09-12T19:07:56.542931+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,CopulaGAN,2024,FAILED,2026-09-12T19:07:56.566950+00:00,2026-09-12T19:21:25.652620+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,TVAE,42,FAILED,2026-09-12T19:21:25.675262+00:00,2026-09-12T19:22:29.554546+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,TVAE,123,FAILED,2026-09-12T19:22:29.577230+00:00,2026-09-12T19:23:29.431071+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,TVAE,2024,FAILED,2026-09-12T19:23:29.468955+00:00,2026-09-12T19:24:28.668697+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,GaussianCopula,42,FAILED,2026-09-12T19:24:28.690954+00:00,2026-09-12T19:24:37.035347+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
forest_cover,GaussianCopula,123,FAILED,2026-09-12T19:24:37.057194+00:00,2026-09-12T19:24:45.384357+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
