Dataset,Generator,TaskType,Metric,Mean,SourceFile
13. Concrete Compressive Strength,WGAN_GP,regression,MSE_Increase,80.10736927143304,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,WGAN_GP,regression,RMSE_Increase,3.967915352647113,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,WGAN_GP,regression,MAE_Increase,3.251137162418495,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTABGAN,regression,R2_Drop,0.7630018015273063,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTABGAN,regression,MSE_Increase,186.3633712323807,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTABGAN,regression,RMSE_Increase,7.566612001464411,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTABGAN,regression,MAE_Increase,6.759999714753341,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTGAN,regression,R2_Drop,1.235679126794006,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTGAN,regression,MSE_Increase,293.8851190650815,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTGAN,regression,RMSE_Increase,10.29743089999568,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CTGAN,regression,MAE_Increase,8.75339866005889,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CopulaGAN,regression,R2_Drop,1.512750983662994,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CopulaGAN,regression,MSE_Increase,370.7628926678323,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CopulaGAN,regression,RMSE_Increase,12.52882735633679,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,CopulaGAN,regression,MAE_Increase,10.38584519471597,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,ForestDiffusion,regression,R2_Drop,0.01782882674195306,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,ForestDiffusion,regression,MSE_Increase,18.02485892830907,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,ForestDiffusion,regression,RMSE_Increase,1.032087750393795,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
