Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
2. Alzhimers,CTGAN,,,MMD,,0.155068,,,,,,0,,Score,Fidelity,0.155068,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,Cosine_Similarity,,0.016283,,,,,,0,,Score,Fidelity,0.016283,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,Cosine_Similarity,,0.01326,,,,,,0,,Score,Fidelity,0.01326,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,Cosine_Similarity,,-0.006982,,,,,,0,,Score,Fidelity,-0.006982,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,Cosine_Similarity,,-0.007544,,,,,,0,,Score,Fidelity,-0.007544,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,PCA_Mean_Error,,18.930353,,,,,,0,,Score,Fidelity,18.930353,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,PCA_Mean_Error,,24.770905,,,,,,0,,Score,Fidelity,24.770905,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,PCA_Mean_Error,,10.833991,,,,,,0,,Score,Fidelity,10.833991,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,PCA_Mean_Error,,16.343796,,,,,,0,,Score,Fidelity,16.343796,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,PCA_Correlation_Diff,,0.933791,,,,,,0,,Score,Fidelity,0.933791,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,PCA_Correlation_Diff,,0.969908,,,,,,0,,Score,Fidelity,0.969908,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,PCA_Correlation_Diff,,0.454044,,,,,,0,,Score,Fidelity,0.454044,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,PCA_Correlation_Diff,,0.321389,,,,,,0,,Score,Fidelity,0.321389,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,MMD_Multivariate,,0.032374,,,,,,0,,Score,Fidelity,0.032374,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,MMD_Multivariate,,0.043953,,,,,,0,,Score,Fidelity,0.043953,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,MMD_Multivariate,,0.078679,,,,,,0,,Score,Fidelity,0.078679,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,MMD_Multivariate,,0.117579,,,,,,0,,Score,Fidelity,0.117579,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTABGAN,,,KS_Complement,,0.906188,,,,,,0,,Score,Fidelity,0.906188,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,KS_Complement,,0.965383,,,,,,0,,Score,Fidelity,0.965383,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,JS_Divergence,,0.324626,,,,,,0,,Score,Fidelity,0.324626,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,JS_Divergence,,0.626113,,,,,,0,,Score,Fidelity,0.626113,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,Wasserstein_Distance,,0.037194,,,,,,0,,Score,Fidelity,0.037194,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,Wasserstein_Distance,,0.058118,,,,,,0,,Score,Fidelity,0.058118,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,Gower_Distance,,0.779736,,,,,,0,,Score,Fidelity,0.779736,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,Gower_Distance,,0.835927,,,,,,0,,Score,Fidelity,0.835927,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,MMD,,0.004291,,,,,,0,,Score,Fidelity,0.004291,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,MMD,,0.045034,,,,,,0,,Score,Fidelity,0.045034,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,Cosine_Similarity,,0.006048,,,,,,0,,Score,Fidelity,0.006048,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,Cosine_Similarity,,-0.009937,,,,,,0,,Score,Fidelity,-0.009937,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,PCA_Mean_Error,,12.702118,,,,,,0,,Score,Fidelity,12.702118,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,PCA_Mean_Error,,3.408592,,,,,,0,,Score,Fidelity,3.408592,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,PCA_Correlation_Diff,,0.920281,,,,,,0,,Score,Fidelity,0.920281,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,PCA_Correlation_Diff,,0.146525,,,,,,0,,Score,Fidelity,0.146525,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,,MMD_Multivariate,,0.001447,,,,,,0,,Score,Fidelity,0.001447,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,,,MMD_Multivariate,,0.033461,,,,,,0,,Score,Fidelity,0.033461,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,TabDDPM,,,KS_Complement,,0.7160429,,,,,,0,,Score,Fidelity,0.7160429,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,KS_Complement,,0.9750697,,,,,,0,,Score,Fidelity,0.9750697,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,JS_Divergence,,0.45918,,,,,,0,,Score,Fidelity,0.45918,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,JS_Divergence,,0.063646,,,,,,0,,Score,Fidelity,0.063646,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,Wasserstein_Distance,,0.011849,,,,,,0,,Score,Fidelity,0.011849,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,Wasserstein_Distance,,0.289061,,,,,,0,,Score,Fidelity,0.289061,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,Gower_Distance,,0.585711,,,,,,0,,Score,Fidelity,0.585711,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,Gower_Distance,,0.785988,,,,,,0,,Score,Fidelity,0.785988,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,MMD,,0.001763,,,,,,0,,Score,Fidelity,0.001763,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,MMD,,0.336058,,,,,,0,,Score,Fidelity,0.336058,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,Cosine_Similarity,,0.003124,,,,,,0,,Score,Fidelity,0.003124,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,Cosine_Similarity,,-0.02195,,,,,,0,,Score,Fidelity,-0.02195,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,PCA_Mean_Error,,51.173386,,,,,,0,,Score,Fidelity,51.173386,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,PCA_Mean_Error,,0.887645,,,,,,0,,Score,Fidelity,0.887645,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,PCA_Correlation_Diff,,0.646359,,,,,,0,,Score,Fidelity,0.646359,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,PCA_Correlation_Diff,,0.138389,,,,,,0,,Score,Fidelity,0.138389,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,,MMD_Multivariate,,-0.000335,,,,,,0,,Score,Fidelity,-0.000335,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,TabDDPM,,,MMD_Multivariate,,0.217116,,,,,,0,,Score,Fidelity,0.217116,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
3. Adult,CTGAN,,,KS_Complement,,0.967098,,,,,,0,,Score,Fidelity,0.967098,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,KS_Complement,,0.973957,,,,,,0,,Score,Fidelity,0.973957,Generators/SDV models/3. Adult census.ipynb
3. Adult,GaussianCopula,,,Wasserstein_Distance,,0.006071,,,,,,0,,Score,Fidelity,0.006071,Generators/SDV models/3. Adult census.ipynb
3. Adult,TVAE,,,Wasserstein_Distance,,0.010608,,,,,,0,,Score,Fidelity,0.010608,Generators/SDV models/3. Adult census.ipynb
3. Adult,CTGAN,,,Wasserstein_Distance,,0.014904,,,,,,0,,Score,Fidelity,0.014904,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,Wasserstein_Distance,,0.014979,,,,,,0,,Score,Fidelity,0.014979,Generators/SDV models/3. Adult census.ipynb
3. Adult,TVAE,,,MMD,,0.006875,,,,,,0,,Score,Fidelity,0.006875,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,MMD,,0.013831,,,,,,0,,Score,Fidelity,0.013831,Generators/SDV models/3. Adult census.ipynb
3. Adult,CTGAN,,,MMD,,0.016426,,,,,,0,,Score,Fidelity,0.016426,Generators/SDV models/3. Adult census.ipynb
3. Adult,GaussianCopula,,,MMD,,0.080521,,,,,,0,,Score,Fidelity,0.080521,Generators/SDV models/3. Adult census.ipynb
3. Adult,TVAE,,,Cosine_Similarity,,0.005204,,,,,,0,,Score,Fidelity,0.005204,Generators/SDV models/3. Adult census.ipynb
3. Adult,CTGAN,,,Cosine_Similarity,,-0.000376,,,,,,0,,Score,Fidelity,-0.000376,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,Cosine_Similarity,,-0.000428,,,,,,0,,Score,Fidelity,-0.000428,Generators/SDV models/3. Adult census.ipynb
3. Adult,GaussianCopula,,,Cosine_Similarity,,-0.000576,,,,,,0,,Score,Fidelity,-0.000576,Generators/SDV models/3. Adult census.ipynb
3. Adult,CTGAN,,,PCA_Mean_Error,,18.985418,,,,,,0,,Score,Fidelity,18.985418,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,PCA_Mean_Error,,14.992197,,,,,,0,,Score,Fidelity,14.992197,Generators/SDV models/3. Adult census.ipynb
3. Adult,TVAE,,,PCA_Mean_Error,,17.725137,,,,,,0,,Score,Fidelity,17.725137,Generators/SDV models/3. Adult census.ipynb
3. Adult,GaussianCopula,,,PCA_Mean_Error,,675.631093,,,,,,0,,Score,Fidelity,675.631093,Generators/SDV models/3. Adult census.ipynb
3. Adult,CTGAN,,,PCA_Correlation_Diff,,0.061826,,,,,,0,,Score,Fidelity,0.061826,Generators/SDV models/3. Adult census.ipynb
3. Adult,CopulaGAN,,,PCA_Correlation_Diff,,0.079603,,,,,,0,,Score,Fidelity,0.079603,Generators/SDV models/3. Adult census.ipynb
