Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Mean_Distance,9.243276702877894,9.243276702877894,,,,,0.0,0,100.0,Score,Privacy,9.243276702877894,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Median_Distance,9.906804305564037,9.906804305564037,,,,,0.0,0,100.0,Score,Privacy,9.906804305564037,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Std_Distance,4.867982943279253,4.867982943279253,,,,,0.0,0,100.0,Score,Privacy,4.867982943279253,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Min_Distance,0.4274292842517395,0.4274292842517395,,,,,0.0,0,100.0,Score,Privacy,0.4274292842517395,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Max_Distance,17.30136120664193,17.30136120664193,,,,,0.0,0,100.0,Score,Privacy,17.30136120664193,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx
Hungarian_Matchings_All_Models,ForestDiffusion,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Matchings_All_Models.xlsx
Hungarian_Matchings_All_Models,TabDDPM,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Hungarian_Matchings_All_Models.xlsx
10. Metro interstate,ForestDiffusion,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Matchings_TabDDPM_ForestDiffusion_Metro_Interstate_Traffic.xlsx
10. Metro interstate,TabDDPM,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Matchings_TabDDPM_ForestDiffusion_Metro_Interstate_Traffic.xlsx
