,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
50,15. Real Estate Valuation,CTABGAN,0.0,0.8455145362564065,0.5323538876909268,0.6208347543950324,0.6841624071283504,2.0
56,15. Real Estate Valuation,TabDDPM,0.0,0.8339522991133603,0.5198041136612244,0.5388433339381186,0.651175153925147,3.0
54,15. Real Estate Valuation,GaussianCopula,0.0,0.9032781434397767,0.5760391095661082,0.3194637650848894,0.62996211977121,4.0
55,15. Real Estate Valuation,TVAE,0.0,0.8936391280605831,0.5714822789370361,0.29693177710138885,0.6179798680357607,5.0
58,15. Real Estate Valuation,,0.0,0.7835887515592548,0.5310824027057834,0.47140466015713833,0.6141816194825784,6.0
57,15. Real Estate Valuation,WGAN_GP,0.0,0.8844172348207966,0.48857053593755473,0.3454453354877318,0.6039716553559046,7.0
52,15. Real Estate Valuation,CopulaGAN,0.0,0.599220162761617,0.5164358729960185,0.3997178762713931,0.5145341898848703,8.0
51,15. Real Estate Valuation,CTGAN,0.0,0.37023842756652836,0.4810248188795704,0.5000031148864676,0.4424037511564227,9.0
62,2. Alzhimers,ForestDiffusion,0.0,0.9751077502830858,0.4209539081060276,0.7352618121410497,0.7369078161873575,1.0
66,2. Alzhimers,WGAN_GP,0.0,0.8661841855978216,0.29053646625765234,0.7465355657259218,0.6575952838342008,2.0
59,2. Alzhimers,CTABGAN,0.0,0.7990976963629703,0.45033583675400024,0.6067396015620388,0.6367617100399998,3.0
64,2. Alzhimers,TVAE,0.0,0.8483982754420081,0.43774208323068675,0.5203808436753965,0.6267961882486283,4.0
63,2. Alzhimers,GaussianCopula,0.0,0.7739085861092853,0.48994903198552464,0.4165827538523376,0.5815229701950728,5.0
60,2. Alzhimers,CTGAN,0.0,0.38370723594493444,0.5514552052614698,0.6236348069686141,0.5060098980469989,6.0
65,2. Alzhimers,TabDDPM,0.0,0.2297742498486814,0.5452979141992785,0.5341496511421223,0.4157439695418928,7.0
61,2. Alzhimers,CopulaGAN,0.0,0.26351881783747594,0.4970094735423968,0.5037210501673901,0.4056266842479265,8.0
70,3. Adult,ForestDiffusion,0.0,0.9082730575731772,0.4323002178613336,0.797378964413918,0.7322129777118465,1.0
72,3. Adult,TVAE,0.0,0.74461002804816,0.428946663979969,0.8651574456543819,0.6860752441095692,2.0
69,3. Adult,CopulaGAN,0.0,0.7150710360177085,0.3952836205326607,0.8963623353673816,0.673522201177096,3.0
68,3. Adult,CTGAN,0.0,0.729799494812507,0.3489121423646301,0.9027989610791034,0.6674331289581228,4.0
71,3. Adult,GaussianCopula,0.0,0.6931861179576021,0.4157255746309122,0.689175618593044,0.6087448051502277,5.0
67,3. Adult,CTABGAN,0.0,0.616553426309336,0.36047732133025867,0.6055900463006874,0.5364415808130182,6.0
73,3. Adult,TabDDPM,0.0,0.44833910727889553,0.6666666666666666,0.16215569214934678,0.42798235055636225,7.0
74,3. Adult,WGAN_GP,0.0,0.39506646980494936,0.318941056173356,0.49794297723778713,0.4030917979453227,8.0
79,4. Forest cover dataset,GaussianCopula,0.0,0.8447564648154063,0.43727511297059385,0.5141863040690439,0.6233410110380538,1.0
