Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
3. Adult,CTABGAN,Extra Trees,0,0.5995000000000001,0.04437529342625991,2,0.600 ± 0.044
3. Adult,CTABGAN,Gradient Boosting,0,0.2820000000000001,0.1229543727476896,2,0.282 ± 0.123
3. Adult,CTABGAN,KNN,0,0.5395000000000001,0.04675289652345971,2,0.540 ± 0.047
3. Adult,CTABGAN,Logistic Regression,0,0.7710000000000001,0.005676462121975472,2,0.771 ± 0.006
3. Adult,CTABGAN,MLP,0,0.5445,0.05346078521267298,2,0.544 ± 0.053
3. Adult,CTABGAN,Naive Bayes,0,0.7165000000000001,0.03291824890712006,2,0.717 ± 0.033
3. Adult,CTABGAN,Random Forest,0,0.4635,0.09395773281404547,2,0.464 ± 0.094
3. Adult,CTABGAN,SVM-RBF,0,0.7135,0.0209563037453332,2,0.714 ± 0.021
3. Adult,CTGAN,AdaBoost,0,0.7750000000000001,1.1702778228589e-16,2,0.775 ± 0.000
3. Adult,CTGAN,Decision Tree,0,0.4145,0.05193211380681943,2,0.414 ± 0.052
3. Adult,CTGAN,Extra Trees,0,0.6809999999999998,0.01646545204697126,2,0.681 ± 0.016
3. Adult,CTGAN,Gradient Boosting,0,0.757,0.00856348838577676,2,0.757 ± 0.009
3. Adult,CTGAN,KNN,0,0.6024999999999999,0.03066394915495683,2,0.602 ± 0.031
3. Adult,CTGAN,Logistic Regression,0,0.7750000000000001,1.1702778228589e-16,2,0.775 ± 0.000
3. Adult,CTGAN,MLP,0,0.6305,0.03639673367518328,2,0.630 ± 0.036
3. Adult,CTGAN,Naive Bayes,0,0.741,0.01542004467496052,2,0.741 ± 0.015
3. Adult,CTGAN,Random Forest,0,0.6910000000000001,0.0199722029052603,2,0.691 ± 0.020
3. Adult,CTGAN,SVM-RBF,0,0.7745000000000001,0.001581138830084191,2,0.775 ± 0.002
3. Adult,CopulaGAN,AdaBoost,0,0.7735000000000001,0.003374742788552768,2,0.774 ± 0.003
3. Adult,CopulaGAN,Decision Tree,0,0.406,0.02998147576235848,2,0.406 ± 0.030
3. Adult,CopulaGAN,Extra Trees,0,0.658,0.0279085809185793,2,0.658 ± 0.028
3. Adult,CopulaGAN,Gradient Boosting,0,0.724,0.02342837785440746,2,0.724 ± 0.023
3. Adult,CopulaGAN,KNN,0,0.581,0.03339993346633428,2,0.581 ± 0.033
3. Adult,CopulaGAN,Logistic Regression,0,0.7745000000000001,0.001581138830084191,2,0.775 ± 0.002
3. Adult,CopulaGAN,MLP,0,0.607,0.03284644408286672,2,0.607 ± 0.033
3. Adult,CopulaGAN,Naive Bayes,0,0.6535,0.05744804415972552,2,0.653 ± 0.057
3. Adult,CopulaGAN,Random Forest,0,0.6805,0.01755151148920099,2,0.680 ± 0.018
3. Adult,CopulaGAN,SVM-RBF,0,0.771,0.006146362971528596,2,0.771 ± 0.006
3. Adult,ForestDiffusion,AdaBoost,0,0.728,0.03216278042154384,2,0.728 ± 0.032
3. Adult,ForestDiffusion,Decision Tree,0,0.6325000000000001,0.04104536785341584,2,0.633 ± 0.041
3. Adult,ForestDiffusion,Extra Trees,0,0.7175,0.02359967043084385,2,0.718 ± 0.024
3. Adult,ForestDiffusion,Gradient Boosting,0,0.7785,0.03894797099265179,2,0.778 ± 0.039
3. Adult,ForestDiffusion,KNN,0,0.6819999999999999,0.0204396129556745,2,0.682 ± 0.020
3. Adult,ForestDiffusion,Logistic Regression,0,0.7204999999999999,0.02521573582771946,2,0.720 ± 0.025
3. Adult,ForestDiffusion,MLP,0,0.7040000000000001,0.03680277767294805,2,0.704 ± 0.037
3. Adult,ForestDiffusion,Naive Bayes,0,0.7725000000000002,0.02821051813301795,2,0.773 ± 0.028
3. Adult,ForestDiffusion,Random Forest,0,0.7464999999999999,0.02068950351157698,2,0.746 ± 0.021
3. Adult,ForestDiffusion,SVM-RBF,0,0.7155,0.02278522913351252,2,0.716 ± 0.023
3. Adult,GaussianCopula,AdaBoost,0,0.7715000000000001,0.00944281031614354,2,0.772 ± 0.009
3. Adult,GaussianCopula,Decision Tree,0,0.4085,0.07803311262961811,2,0.408 ± 0.078
3. Adult,GaussianCopula,Extra Trees,0,0.7084999999999999,0.02427275564633454,2,0.708 ± 0.024
3. Adult,GaussianCopula,Gradient Boosting,0,0.6525000000000001,0.1101072709275419,2,0.653 ± 0.110
3. Adult,GaussianCopula,KNN,0,0.6079999999999999,0.03368151487751765,2,0.608 ± 0.034
3. Adult,GaussianCopula,Logistic Regression,0,0.7745000000000001,0.001581138830084191,2,0.775 ± 0.002
3. Adult,GaussianCopula,MLP,0,0.5890000000000001,0.05179017495840522,2,0.589 ± 0.052
3. Adult,GaussianCopula,Naive Bayes,0,0.639,0.02913569784454957,2,0.639 ± 0.029
3. Adult,GaussianCopula,Random Forest,0,0.7205,0.02350531854708634,2,0.721 ± 0.024
3. Adult,GaussianCopula,SVM-RBF,0,0.768,0.006749485577105536,2,0.768 ± 0.007
3. Adult,TVAE,AdaBoost,0,0.7114999999999999,0.0156436000403431,2,0.711 ± 0.016
3. Adult,TVAE,Decision Tree,0,0.6625,0.01719980620045857,2,0.662 ± 0.017
3. Adult,TVAE,Extra Trees,0,0.7164999999999999,0.01313392553656371,2,0.716 ± 0.013
3. Adult,TVAE,Gradient Boosting,0,0.704,0.01867856763482919,2,0.704 ± 0.019
3. Adult,TVAE,KNN,0,0.6655,0.03209794039775414,2,0.665 ± 0.032
3. Adult,TVAE,Logistic Regression,0,0.6625,0.02637865298557399,2,0.662 ± 0.026
3. Adult,TVAE,MLP,0,0.6955,0.02454587541726713,2,0.696 ± 0.025
3. Adult,TVAE,Naive Bayes,0,0.41,0.04422166387140534,2,0.410 ± 0.044
3. Adult,TVAE,Random Forest,0,0.7224999999999999,0.01687371394276384,2,0.722 ± 0.017
3. Adult,TVAE,SVM-RBF,0,0.747,0.01378404875209023,2,0.747 ± 0.014
3. Adult,TabDDPM,AdaBoost,0,0.5305000000000001,0.1057368326449104,2,0.531 ± 0.106
3. Adult,TabDDPM,Decision Tree,0,0.533,0.08944893018427393,2,0.533 ± 0.089
3. Adult,TabDDPM,Extra Trees,0,0.5954999999999999,0.08725600902580355,2,0.595 ± 0.087
3. Adult,TabDDPM,Gradient Boosting,0,0.3895,0.106860500965823,2,0.390 ± 0.107
3. Adult,TabDDPM,KNN,0,0.6029999999999999,0.06490163497341357,2,0.603 ± 0.065
3. Adult,TabDDPM,Logistic Regression,0,0.2305,0.008316649966583095,2,0.231 ± 0.008
3. Adult,TabDDPM,MLP,0,0.4575,0.2711933504592864,2,0.458 ± 0.271
3. Adult,TabDDPM,Naive Bayes,0,0.5655,0.1774268237267911,2,0.566 ± 0.177
3. Adult,TabDDPM,Random Forest,0,0.5125,0.1123795651649652,2,0.512 ± 0.112
3. Adult,TabDDPM,SVM-RBF,0,0.2305,0.008316649966583095,2,0.231 ± 0.008
3. Adult,WGAN_GP,AdaBoost,0,0.4189999999999999,0.05342700108039421,2,0.419 ± 0.053
3. Adult,WGAN_GP,Decision Tree,0,0.45,0.04242640687119286,2,0.450 ± 0.042
3. Adult,WGAN_GP,Extra Trees,0,0.2755,0.02443244655052875,2,0.276 ± 0.024
3. Adult,WGAN_GP,Gradient Boosting,0,0.288,0.0213697605664328,2,0.288 ± 0.021
3. Adult,WGAN_GP,KNN,0,0.3585,0.02963200221982232,2,0.358 ± 0.030
3. Adult,WGAN_GP,Logistic Regression,0,0.3295,0.02020038503483425,2,0.330 ± 0.020
3. Adult,WGAN_GP,MLP,0,0.352,0.03852848873813305,2,0.352 ± 0.039
3. Adult,WGAN_GP,Naive Bayes,0,0.4475000000000001,0.02519369409638496,2,0.448 ± 0.025
3. Adult,WGAN_GP,Random Forest,0,0.292,0.02485513584307633,2,0.292 ± 0.025
3. Adult,WGAN_GP,SVM-RBF,0,0.2865,0.01764621457675522,2,0.286 ± 0.018
4. Forest cover dataset,CTABGAN,AdaBoost,0,0.3774999999999999,0.04638306683358581,2,0.377 ± 0.046
4. Forest cover dataset,CTABGAN,Decision Tree,0,0.2345,0.04119398553726557,2,0.234 ± 0.041
4. Forest cover dataset,CTABGAN,Extra Trees,0,0.357,0.02594866727470476,2,0.357 ± 0.026
4. Forest cover dataset,CTABGAN,Gradient Boosting,0,0.2285,0.04048662330531735,2,0.229 ± 0.040
4. Forest cover dataset,CTABGAN,KNN,0,0.3455,0.0210092572188759,2,0.345 ± 0.021
4. Forest cover dataset,CTABGAN,Logistic Regression,0,0.33,0.02896357866163794,2,0.330 ± 0.029
4. Forest cover dataset,CTABGAN,MLP,0,0.2805,0.05134036748342705,2,0.281 ± 0.051
4. Forest cover dataset,CTABGAN,Naive Bayes,0,0.363,0.04131182235954578,2,0.363 ± 0.041
4. Forest cover dataset,CTABGAN,Random Forest,0,0.3385,0.02991190769948019,2,0.339 ± 0.030
4. Forest cover dataset,CTABGAN,SVM-RBF,0,0.361,0.02366431913239846,2,0.361 ± 0.024
4. Forest cover dataset,CTGAN,AdaBoost,0,0.08399999999999999,0.02970222587992729,2,0.084 ± 0.030
4. Forest cover dataset,CTGAN,Decision Tree,0,0.1535,0.04422480450305386,2,0.153 ± 0.044
4. Forest cover dataset,CTGAN,Extra Trees,0,0.1225,0.02071633815776009,2,0.122 ± 0.021
4. Forest cover dataset,CTGAN,Gradient Boosting,0,0.1475,0.02898754521821014,2,0.147 ± 0.029
4. Forest cover dataset,CTGAN,KNN,0,0.1745,0.02033743128104213,2,0.174 ± 0.020
4. Forest cover dataset,CTGAN,Logistic Regression,0,0.1085,0.02799305469417568,2,0.108 ± 0.028
4. Forest cover dataset,CTGAN,MLP,0,0.1605,0.06889807286451809,2,0.161 ± 0.069
4. Forest cover dataset,CTGAN,Naive Bayes,0,0.168,0.02955221367906867,2,0.168 ± 0.030
4. Forest cover dataset,CTGAN,Random Forest,0,0.1125,0.02071633815776009,2,0.113 ± 0.021
4. Forest cover dataset,CTGAN,SVM-RBF,0,0.1045,0.02948163270015191,2,0.104 ± 0.029
