Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
2. Alzhimers,TabDDPM,Naive Bayes,0,0.8423852813852812,0.1718049744661832,2,0.842 ± 0.172
2. Alzhimers,TabDDPM,Random Forest,0,0.5459838648962071,0.06521458701907638,2,0.546 ± 0.065
2. Alzhimers,TabDDPM,SVM-RBF,0,0.6571581196581197,0.239772939722718,2,0.657 ± 0.240
2. Alzhimers,WGAN_GP,AdaBoost,0,1.0,0.0,2,1.000 ± 0.000
2. Alzhimers,WGAN_GP,Decision Tree,0,0.9923188405797101,0.01552890266230682,2,0.992 ± 0.016
2. Alzhimers,WGAN_GP,Extra Trees,0,0.9939170506912444,0.01219379569293362,2,0.994 ± 0.012
2. Alzhimers,WGAN_GP,Gradient Boosting,0,1.0,0.0,2,1.000 ± 0.000
2. Alzhimers,WGAN_GP,KNN,0,0.9568234477846547,0.02926239721739739,2,0.957 ± 0.029
2. Alzhimers,WGAN_GP,Logistic Regression,0,0.9899769585253455,0.01533643391635975,2,0.990 ± 0.015
2. Alzhimers,WGAN_GP,MLP,0,0.9867511520737328,0.02173270374799643,2,0.987 ± 0.022
2. Alzhimers,WGAN_GP,Naive Bayes,0,1.0,0.0,2,1.000 ± 0.000
2. Alzhimers,WGAN_GP,Random Forest,0,0.9906060606060606,0.01437079478955075,2,0.991 ± 0.014
2. Alzhimers,WGAN_GP,SVM-RBF,0,0.9967741935483871,0.009677419354838701,2,0.997 ± 0.010
3. Adult,CTABGAN,AdaBoost,0,0.6758973530769692,0.06943032481776622,2,0.676 ± 0.069
3. Adult,CTABGAN,Decision Tree,0,0.6546324147054102,0.06856629865042159,2,0.655 ± 0.069
3. Adult,CTABGAN,Extra Trees,0,0.6341605292029262,0.02708594513904272,2,0.634 ± 0.027
3. Adult,CTABGAN,Gradient Boosting,0,0.4344526073437372,0.2874896824620755,2,0.434 ± 0.287
3. Adult,CTABGAN,KNN,0,0.6329960699508939,0.03720450869806709,2,0.633 ± 0.037
3. Adult,CTABGAN,Logistic Regression,0,0.6572465604408354,0.07648325296866097,2,0.657 ± 0.076
3. Adult,CTABGAN,MLP,0,0.6233682211267764,0.02980931125280909,2,0.623 ± 0.030
3. Adult,CTABGAN,Naive Bayes,0,0.6730050245996575,0.04502745246812546,2,0.673 ± 0.045
3. Adult,CTABGAN,Random Forest,0,0.6694683415977043,0.03920304505969838,2,0.669 ± 0.039
3. Adult,CTABGAN,SVM-RBF,0,0.6373621097134691,0.0224036366561004,2,0.637 ± 0.022
3. Adult,CTGAN,AdaBoost,0,0.600625,0.0,2,0.601 ± 0.000
3. Adult,CTGAN,Decision Tree,0,0.6537085477937802,0.04406575732841763,2,0.654 ± 0.044
3. Adult,CTGAN,Extra Trees,0,0.6285194053483779,0.02020463590284133,2,0.629 ± 0.020
3. Adult,CTGAN,Gradient Boosting,0,0.6101075697728033,0.03806187034551214,2,0.610 ± 0.038
3. Adult,CTGAN,KNN,0,0.6436062631497312,0.02772881674455385,2,0.644 ± 0.028
3. Adult,CTGAN,Logistic Regression,0,0.600625,0.0,2,0.601 ± 0.000
3. Adult,CTGAN,MLP,0,0.6322364314339317,0.02639683199059354,2,0.632 ± 0.026
3. Adult,CTGAN,Naive Bayes,0,0.6680308537828543,0.09933968283743749,2,0.668 ± 0.099
3. Adult,CTGAN,Random Forest,0,0.6292317395218868,0.02366682502841334,2,0.629 ± 0.024
3. Adult,CTGAN,SVM-RBF,0,0.6005373743718593,0.0002770965663275487,2,0.601 ± 0.000
3. Adult,CopulaGAN,AdaBoost,0,0.6118265157860007,0.03635380175755802,2,0.612 ± 0.036
3. Adult,CopulaGAN,Decision Tree,0,0.6509513288658241,0.04218478877560391,2,0.651 ± 0.042
3. Adult,CopulaGAN,Extra Trees,0,0.6250217809647554,0.024116715461468,2,0.625 ± 0.024
3. Adult,CopulaGAN,Gradient Boosting,0,0.6508633625557143,0.03495667852972704,2,0.651 ± 0.035
3. Adult,CopulaGAN,KNN,0,0.6277301764406881,0.02282166807677245,2,0.628 ± 0.023
3. Adult,CopulaGAN,Logistic Regression,0,0.6005373743718593,0.0002770965663275487,2,0.601 ± 0.000
3. Adult,CopulaGAN,MLP,0,0.6736795411078859,0.0200703542754335,2,0.674 ± 0.020
3. Adult,CopulaGAN,Naive Bayes,0,0.6511340333228727,0.01633468942666371,2,0.651 ± 0.016
3. Adult,CopulaGAN,Random Forest,0,0.6294691369843293,0.01412031835498728,2,0.629 ± 0.014
3. Adult,CopulaGAN,SVM-RBF,0,0.6516246558765394,0.07888255148287956,2,0.652 ± 0.079
3. Adult,ForestDiffusion,AdaBoost,0,0.8274841147304658,0.02375472961573071,2,0.827 ± 0.024
3. Adult,ForestDiffusion,Decision Tree,0,0.7511015945240864,0.02425709812870806,2,0.751 ± 0.024
3. Adult,ForestDiffusion,Extra Trees,0,0.8160294753040294,0.02063605637657615,2,0.816 ± 0.021
3. Adult,ForestDiffusion,Gradient Boosting,0,0.8349204608807771,0.02494069345512922,2,0.835 ± 0.025
3. Adult,ForestDiffusion,KNN,0,0.8002301847805896,0.01929628218260107,2,0.800 ± 0.019
3. Adult,ForestDiffusion,Logistic Regression,0,0.8168901353561694,0.0142346735725995,2,0.817 ± 0.014
3. Adult,ForestDiffusion,MLP,0,0.8053433697361732,0.01971851560894098,2,0.805 ± 0.020
3. Adult,ForestDiffusion,Naive Bayes,0,0.7632603404979916,0.02924767136212271,2,0.763 ± 0.029
3. Adult,ForestDiffusion,Random Forest,0,0.8155266283306348,0.02103133590380068,2,0.816 ± 0.021
3. Adult,ForestDiffusion,SVM-RBF,0,0.8183299333627895,0.0154113579273181,2,0.818 ± 0.015
3. Adult,GaussianCopula,AdaBoost,0,0.6030269577051925,0.007908338315814894,2,0.603 ± 0.008
3. Adult,GaussianCopula,Decision Tree,0,0.6397853086822934,0.0379549925896903,2,0.640 ± 0.038
3. Adult,GaussianCopula,Extra Trees,0,0.6068357397989677,0.01759895731114488,2,0.607 ± 0.018
3. Adult,GaussianCopula,Gradient Boosting,0,0.598371641548541,0.02325099830563713,2,0.598 ± 0.023
3. Adult,GaussianCopula,KNN,0,0.6226676892037621,0.02727190171815976,2,0.623 ± 0.027
3. Adult,GaussianCopula,Logistic Regression,0,0.6005373743718593,0.0002770965663275487,2,0.601 ± 0.000
3. Adult,GaussianCopula,MLP,0,0.6107703263832451,0.02860395898305344,2,0.611 ± 0.029
3. Adult,GaussianCopula,Naive Bayes,0,0.5844832393964479,0.01438178836090669,2,0.584 ± 0.014
3. Adult,GaussianCopula,Random Forest,0,0.6036759308276415,0.01191228325791812,2,0.604 ± 0.012
3. Adult,GaussianCopula,SVM-RBF,0,0.5993884373560873,0.001198750051172788,2,0.599 ± 0.001
3. Adult,TVAE,AdaBoost,0,0.6698904872446425,0.07079008794013684,2,0.670 ± 0.071
3. Adult,TVAE,Decision Tree,0,0.6695038168635647,0.03621303213699847,2,0.670 ± 0.036
3. Adult,TVAE,Extra Trees,0,0.6492585095587544,0.01372643149714761,2,0.649 ± 0.014
3. Adult,TVAE,Gradient Boosting,0,0.6512399721106326,0.01202619924804045,2,0.651 ± 0.012
3. Adult,TVAE,KNN,0,0.6533657443206147,0.01707312181096241,2,0.653 ± 0.017
3. Adult,TVAE,Logistic Regression,0,0.6767547031941447,0.03688795603930661,2,0.677 ± 0.037
3. Adult,TVAE,MLP,0,0.6375167708739066,0.0162404902713344,2,0.638 ± 0.016
3. Adult,TVAE,Naive Bayes,0,0.7671532332267498,0.0257033476862349,2,0.767 ± 0.026
3. Adult,TVAE,Random Forest,0,0.6415867036554894,0.01077694798602694,2,0.642 ± 0.011
3. Adult,TVAE,SVM-RBF,0,0.6152665064944008,0.006074741117977869,2,0.615 ± 0.006
3. Adult,TabDDPM,AdaBoost,0,0.6271948053271059,0.05744903576928705,2,0.627 ± 0.057
3. Adult,TabDDPM,Decision Tree,0,0.6609231821422814,0.07338396495062781,2,0.661 ± 0.073
3. Adult,TabDDPM,Extra Trees,0,0.636558589265263,0.01581256914988814,2,0.637 ± 0.016
3. Adult,TabDDPM,Gradient Boosting,0,0.6031499807370405,0.1038495103829512,2,0.603 ± 0.104
3. Adult,TabDDPM,KNN,0,0.6853656925276244,0.02424663571614332,2,0.685 ± 0.024
3. Adult,TabDDPM,Logistic Regression,0,0.5673248815657512,0.3168651752883881,2,0.567 ± 0.317
3. Adult,TabDDPM,MLP,0,0.4823265278645917,0.2529046991217041,2,0.482 ± 0.253
3. Adult,TabDDPM,Naive Bayes,0,0.6655303303483318,0.09270492416950747,2,0.666 ± 0.093
3. Adult,TabDDPM,Random Forest,0,0.6429581736983061,0.04306004027927952,2,0.643 ± 0.043
3. Adult,TabDDPM,SVM-RBF,0,0.5673248815657512,0.3168651752883881,2,0.567 ± 0.317
3. Adult,WGAN_GP,AdaBoost,0,0.811190152826164,0.02562700081370854,2,0.811 ± 0.026
3. Adult,WGAN_GP,Decision Tree,0,0.7610838460782016,0.03635249774981847,2,0.761 ± 0.036
3. Adult,WGAN_GP,Extra Trees,0,0.7806079616890849,0.07677515729672589,2,0.781 ± 0.077
3. Adult,WGAN_GP,Gradient Boosting,0,0.7720396094784092,0.06151837615979468,2,0.772 ± 0.062
3. Adult,WGAN_GP,KNN,0,0.7288952426351358,0.0366804855946361,2,0.729 ± 0.037
3. Adult,WGAN_GP,Logistic Regression,0,0.7059381246669123,0.03698291430109878,2,0.706 ± 0.037
3. Adult,WGAN_GP,MLP,0,0.7579932141114015,0.04250068135389313,2,0.758 ± 0.043
3. Adult,WGAN_GP,Naive Bayes,0,0.816032296954363,0.0163628128433229,2,0.816 ± 0.016
3. Adult,WGAN_GP,Random Forest,0,0.7687554270595028,0.0666034156909713,2,0.769 ± 0.067
3. Adult,WGAN_GP,SVM-RBF,0,0.8019692403118321,0.0363179900201151,2,0.802 ± 0.036
4. Forest cover dataset,CTABGAN,AdaBoost,0,0.3511564269313315,0.04240977308805266,2,0.351 ± 0.042
4. Forest cover dataset,CTABGAN,Decision Tree,0,0.331107510198022,0.03893543015647023,2,0.331 ± 0.039
4. Forest cover dataset,CTABGAN,Extra Trees,0,0.3445541970095952,0.02242885570810924,2,0.345 ± 0.022
4. Forest cover dataset,CTABGAN,Gradient Boosting,0,0.3336591474944534,0.02919478723263357,2,0.334 ± 0.029
4. Forest cover dataset,CTABGAN,KNN,0,0.3385202852332835,0.02146036392923006,2,0.339 ± 0.021
4. Forest cover dataset,CTABGAN,Logistic Regression,0,0.3242429939580739,0.03141913866312536,2,0.324 ± 0.031
4. Forest cover dataset,CTABGAN,MLP,0,0.3813717760804265,0.05001071622236004,2,0.381 ± 0.050
4. Forest cover dataset,CTABGAN,Naive Bayes,0,0.4669503513010187,0.01555973026679501,2,0.467 ± 0.016
4. Forest cover dataset,CTABGAN,Random Forest,0,0.3262481808169865,0.01557611718566663,2,0.326 ± 0.016
4. Forest cover dataset,CTABGAN,SVM-RBF,0,0.3248145723530492,0.03625228352730034,2,0.325 ± 0.036
4. Forest cover dataset,CTGAN,AdaBoost,0,0.3545227277380761,0.1679480262149068,2,0.355 ± 0.168
4. Forest cover dataset,CTGAN,Decision Tree,0,0.4373296248601243,0.06666877515471258,2,0.437 ± 0.067
4. Forest cover dataset,CTGAN,Extra Trees,0,0.3987966718999895,0.07609907975739488,2,0.399 ± 0.076
4. Forest cover dataset,CTGAN,Gradient Boosting,0,0.4580848023834673,0.04999868825256062,2,0.458 ± 0.050
4. Forest cover dataset,CTGAN,KNN,0,0.40755662568879,0.03696031492880093,2,0.408 ± 0.037
